route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,0,54,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,1,55,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,2,56,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,3,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,4,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,5,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,6,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,7,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,8,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,9,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,10,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,11,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,12,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,13,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,14,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,15,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,16,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,17,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,18,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,19,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,20,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,21,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,22,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,23,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,24,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,25,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,26,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,27,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,28,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,29,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,30,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,31,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,32,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,33,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,34,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,35,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,36,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,37,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,38,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,39,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,40,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
TA014_MAJ017_DK01_to_DB02_to_FLZ03_FLZ_branch,41,60,9.126416053382446,4678.530160672402,8026;7214;7213;8943;6291;8127
