route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,46,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,47,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,48,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,49,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,50,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,51,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,52,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,53,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,54,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,55,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,56,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,57,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,58,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,59,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,60,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,61,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,62,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,63,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,64,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,65,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,66,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,67,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,68,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,69,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,70,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,71,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,72,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,73,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,74,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,75,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,76,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,77,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,78,60,5.1448238509132524,364.0054944640259,3615;3406
DK01_to_DB01_forward_forced_to_FLZ01_FLZ_branch,79,60,5.1448238509132524,364.0054944640259,3615;3406
