route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,0,16,49.52130679711523,28313.862569166467,4103;3476;7214;7213;8533;8026;7231;8425;8141;8722;8719;8413;9312;8127;6708;9253;9151;5292;1955;3058;2956;3996;4479;3008;2811;2711;4494;1555;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,1,33,31.76353698567395,15888.096060056998,4103;5615;2711;2811;3615;3476;1955;5292;9151;9253;6708;6728;3008;3204;3406;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,2,27,29.28225715523928,11480.842073219834,4103;3996;2956;3058;5701;4479;3008;2711;2811;3615;4494;3204;3406;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,3,36,24.239017330929087,7794.084247893568,4103;3996;5615;3615;4494;3204;3008;2711;2811;3406;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,4,46,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,5,58,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,6,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,7,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,8,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,9,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,10,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,11,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,12,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,13,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,14,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,15,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,16,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,17,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,18,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,19,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,20,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,21,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,22,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,23,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,24,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,25,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,26,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,27,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,28,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,29,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,30,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,31,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,32,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,33,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,34,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,35,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,36,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,37,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,38,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,39,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,40,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,41,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,42,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,43,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,44,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,45,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,46,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,47,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,48,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,49,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,50,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,51,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,52,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
DK01_to_DB01_outer_backup_to_FLZ04_FLZ_branch,53,60,21.204807758007227,10610.60311980873,4103;3996;5615;3615;4479;5701;3058;2956;3476;1955;4805
