route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,0,16,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,1,28,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,2,58,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,3,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,4,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,5,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,6,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,7,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,8,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,9,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,10,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,11,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,12,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,13,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,14,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,15,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,16,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,17,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,18,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,19,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,20,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,21,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,22,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,23,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,24,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,25,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,26,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,27,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,28,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,29,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,30,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,31,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,32,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,33,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,34,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,35,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,36,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,37,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,38,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,39,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,40,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,41,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,42,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,43,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,44,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,45,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,46,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,47,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,48,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,49,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,50,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,51,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,52,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,53,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,54,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,55,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,56,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,57,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,58,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,59,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,60,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,61,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,62,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,63,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,64,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,65,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,66,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,67,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,68,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,69,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,70,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,71,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,72,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,73,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,74,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,75,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,76,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,77,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,78,60,4.539023009062812,100.0,3204;3406
TA029_MIN008_DK01_to_DB02_to_FLZ01_FLZ_branch,79,60,4.539023009062812,100.0,3204;3406
