route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
DB01_to_DK06_backward,0,199,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,1,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,2,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,3,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,4,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,5,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,6,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,7,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,8,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,9,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,10,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,11,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,12,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,13,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,14,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,15,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,16,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,17,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,18,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,19,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,20,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,21,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,22,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,23,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,24,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,25,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,26,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,27,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,28,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
DB01_to_DK06_backward,29,250,38.2746801598786,4353.765707399395,2956;3058;5701;5693;8127;8533;8719
