route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,0,19,14.248390003703662,9939.50475542997,8026;7231;4103;8141;5693;8943;7214;7213;6708;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,1,24,14.248390003703662,9939.50475542997,8026;7231;4103;8141;5693;8943;7214;7213;6708;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,2,17,14.248390003703662,9939.50475542997,8026;7231;4103;8141;5693;8943;7214;7213;6708;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,3,34,14.248390003703662,9939.50475542997,8026;7231;4103;8141;5693;8943;7214;7213;6708;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,4,39,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,5,51,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,6,56,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,7,60,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,8,59,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,9,60,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,10,60,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,11,60,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,12,60,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,13,60,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,14,60,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,15,60,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,16,60,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,17,60,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,18,60,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
TA016_MAJ011_DK01_to_DB01_to_FLZ03_FLZ_branch,19,60,12.991593479655375,6559.1839707710205,8026;7231;6728;9151;9253;5292;6291;8127
