route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,29,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,30,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,31,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,32,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,33,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,34,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,35,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,36,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,37,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,38,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,39,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,40,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,41,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,42,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,43,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,44,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,45,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,46,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,47,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,48,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,49,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,50,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,51,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,52,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,53,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,54,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,55,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,56,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,57,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,58,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,59,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,60,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,61,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,62,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,63,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,64,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
TA015_MAJ010_DK01_to_DB02_to_FLZ03_FLZ_branch,65,60,17.037468210680533,10690.302043415764,8026;7213;7214;8533;8425;8943;5615;3996;4103;8141;9312;8127
