route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
DB01_to_DK05_backward,0,188,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,1,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,2,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,3,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,4,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,5,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,6,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,7,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,8,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,9,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,10,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,11,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,12,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,13,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,14,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,15,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,16,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,17,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,18,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,19,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,20,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,21,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,22,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,23,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,24,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,25,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,26,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,27,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,28,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB01_to_DK05_backward,29,250,46.32949174407145,8917.83889590758,2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
