route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,34,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,35,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,36,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,37,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,38,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,39,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,40,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,41,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,42,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,43,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,44,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,45,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,46,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,47,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,48,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,49,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,50,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,51,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,52,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,53,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,54,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,55,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,56,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,57,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,58,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
TA034_MIN013_DK01_to_DB02_to_FLZ04_FLZ_branch,59,60,13.205611701723079,8959.960525181963,5615;8425;6728;3204;3996;2711;2811;4805
