route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,0,21,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,1,28,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,2,41,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,3,42,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,4,52,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,5,59,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,6,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,7,59,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,8,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,9,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,10,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,11,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,12,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,13,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,14,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,15,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,16,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
