route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,24,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,25,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,26,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,27,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,28,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,29,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,30,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,31,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,32,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,33,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,34,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,35,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,36,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,37,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,38,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,39,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,40,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,41,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,42,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,43,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,44,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,45,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,46,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,47,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,48,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,49,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,50,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,51,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,52,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,53,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,54,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,55,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,56,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,57,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,58,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,59,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,60,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,61,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,62,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,63,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,64,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,65,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,66,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,67,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,68,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,69,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,70,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,71,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,72,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,73,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,74,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,75,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,76,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,77,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,78,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,79,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
