route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,0,16,38.149156118636895,22384.012142913427,5615;9253;9151;7214;7213;6708;8722;5701;5693;5292;8943;4479;3058;2956;3476;1955;4494;3615;3996;3865;1555;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,1,31,24.24640635900568,12676.240996952434,5615;6708;7213;7214;8026;7231;3204;3008;3996;3865;4494;3615;2811;2711;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,2,33,24.24640635900568,12676.240996952434,5615;6708;7213;7214;8026;7231;3204;3008;3996;3865;4494;3615;2811;2711;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,3,29,23.001196804515825,12077.733780803985,5615;6708;8026;7231;3204;4103;3996;3865;4494;3615;2811;2711;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,4,43,19.459411392133642,8825.10665724895,5615;3204;4103;3996;3865;4494;3615;2811;2711;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,5,52,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,6,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,7,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,8,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,9,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,10,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,11,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,12,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,13,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,14,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,15,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,16,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,17,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,18,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,19,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,20,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,21,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,22,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,23,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,24,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,25,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,26,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,27,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,28,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,29,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,30,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,31,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,32,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,33,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,34,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,35,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,36,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,37,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,38,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,39,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,40,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,41,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,42,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,43,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,44,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,45,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,46,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,47,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,48,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,49,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,50,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,51,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,52,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,53,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,54,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,55,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,56,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,57,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,58,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,59,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,60,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,61,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,62,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,63,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,64,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,65,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,66,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
DK06_to_DB02_outer_backup_to_FLZ04_FLZ_branch,67,60,17.32244357468918,12187.780966716662,5615;3204;7231;8026;7213;7214;9151;9253;7208;3476;1955;4805
