route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,37,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,38,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,39,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,40,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,41,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,42,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,43,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,44,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,45,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,46,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,47,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,48,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,49,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,50,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,51,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,52,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,53,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,54,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,55,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,56,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
TA003_MAJ015_DK04_to_DB01_to_FLZ04_FLZ_branch,57,60,10.783272049427062,3089.2514307968995,3058;2956;1555;1955;4805
