route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
DB02_to_DK06_backward,0,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,1,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,2,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,3,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,4,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,5,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,6,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,7,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,8,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,9,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,10,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,11,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,12,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,13,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,14,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,15,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,16,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,17,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,18,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,19,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,20,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,21,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,22,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,23,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,24,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,25,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,26,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,27,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,28,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
DB02_to_DK06_backward,29,250,47.371165370484064,7539.759210911797,2711;4103;2956;3058;5701;5693;8127;8533;8719
