route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,43,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,44,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,45,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,46,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,47,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,48,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,49,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,50,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,51,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,52,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,53,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,54,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,55,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,56,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,57,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,58,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,59,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,60,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,61,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,62,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,63,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,64,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,65,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,66,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,67,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,68,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,69,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,70,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,71,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,72,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,73,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,74,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,75,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,76,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,77,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,78,60,7.423791808956255,3490.7125191251926,4103;1955;4805
DK05_to_DB02_outer_backup_to_FLZ04_FLZ_branch,79,60,7.423791808956255,3490.7125191251926,4103;1955;4805
