route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,43,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,44,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,45,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,46,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,47,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,48,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,49,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,50,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,51,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,52,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,53,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,54,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,55,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
TA007_MAJ005_DK01_to_DB01_to_FLZ03_FLZ_branch,56,60,32.37769307081747,19191.19551124801,7214;7213;8026;7231;4103;3996;3476;5292;2956;3058;4494;1955;5693;8141;6708;8943;7208;5701;6291;8127
