route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,41,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,42,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,43,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,44,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,45,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,46,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,47,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,48,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,49,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,50,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,51,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,52,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,53,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,54,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,55,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,56,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,57,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,58,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,59,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,60,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,61,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,62,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,63,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,64,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,65,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,66,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,67,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,68,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,69,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,70,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,71,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,72,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,73,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,74,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,75,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,76,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,77,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,78,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,79,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
