route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,26,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,27,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,28,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,29,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,30,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,31,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,32,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,33,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,34,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,35,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,36,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,37,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,38,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,39,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,40,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,41,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,42,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,43,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,44,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,45,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,46,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,47,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,48,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,49,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,50,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,51,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,52,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,53,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,54,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,55,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,56,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,57,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,58,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,59,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,60,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,61,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,62,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,63,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,64,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,65,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,66,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,67,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,68,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,69,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,70,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,71,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,72,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,73,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,74,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,75,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,76,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,77,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,78,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
TA016_MAJ011_DK01_to_DB01_to_FLZ01_FLZ_branch,79,60,23.4006853684001,10514.09303867788,3204;4103;3996;5615;8943;8425;8533;7214;7213;8026;6708;6728;3008;2811;2711;3406
