route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,0,17,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,1,30,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,2,28,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,3,32,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,4,35,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,5,47,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,6,51,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,7,59,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,8,60,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,9,60,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,10,60,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,11,60,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,12,60,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,13,60,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,14,60,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,15,60,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,16,60,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,17,60,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,18,60,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,19,60,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
TA019_MAJ016_DK01_to_DB01_to_FLZ03_FLZ_branch,20,60,19.92173883552266,11704.247438304503,7214;7213;8026;8533;5292;3058;2956;1555;4479;3008;3204;6728;8127
