node_id,x,y,z,slowness,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix,is_candidate,candidate_type,candidate_id,route_hit_count
0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
1,50.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
2,100.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
3,150.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
4,200.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
5,250.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
6,300.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
7,350.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
8,400.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
9,450.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
10,500.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
11,550.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
12,600.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
13,650.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
14,700.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
15,750.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
16,800.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
17,850.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
18,900.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
19,950.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
20,1000.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
21,1050.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
22,1100.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
23,1150.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
24,1200.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
25,1250.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
26,1300.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
27,1350.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
28,1400.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
29,1450.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
30,1500.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
31,1550.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
32,1600.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
33,1650.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
34,1700.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
35,1750.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
36,1800.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
37,1850.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
38,1900.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
39,1950.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
40,2000.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
41,2050.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
42,2100.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
43,2150.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
44,2200.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
45,2250.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
46,2300.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
47,2350.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
48,2400.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
49,2450.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
50,2500.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
51,2550.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
52,2600.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
