t_s,agent_a,agent_b,gap_m,x,y,res_a,res_b,flight_level
580.0,104,32,17.91,730.3,4193.7,DB01__RN3#A,DB01__TN1#A,2
600.0,104,32,18.2,717.2,4209.4,DB01__RN3#A,DB01__TN1#A,2
620.0,104,32,11.46,702.3,4237.1,DB01__RN3#A,DB01__TN1#A,2
640.0,104,32,5.22,676.4,4260.7,DB01__RN3#A,DB01__TN1#A,2
660.0,104,32,6.05,644.2,4301.0,DB01__RN3#A,DB01__TN1#A,2
680.0,104,32,38.41,586.2,4359.9,DB01__RN3#A,DB01__TN1#A,2
720.0,31,128,35.19,713.1,4184.8,DB01__RBT15#B,DB01__TN12#A,1
740.0,31,128,35.17,710.0,4211.8,DB01__RBT15#B,DB01__TN12#A,1
920.0,88,90,4.56,2003.3,1430.3,RBT04#RING,DB02__RBT04#A,1
960.0,56,82,34.54,750.5,4227.7,DB01__TN7#A,DB01__TN2#A,0
980.0,56,82,34.01,763.4,4237.5,DB01__TN7#A,DB01__TN2#A,0
1000.0,56,82,36.56,776.3,4247.1,DB01__TN7#A,DB01__TN2#A,0
1020.0,56,82,41.05,789.0,4256.6,DB01__TN7#A,DB01__TN2#A,0
1040.0,102,32,3.84,594.6,3374.2,RBT15#RING,RBT15__RBT16#B,5
1040.0,56,82,46.77,801.9,4266.4,DB01__TN7#A,DB01__TN2#A,0
1700.0,66,56,21.97,1496.3,2958.8,DK04__RBT12#B,RBT12#RING,4
2540.0,69,165,9.33,2021.9,1628.0,RBT04#RING,RBT04__RBT07#B,4
2560.0,69,165,45.38,1996.3,1618.6,RBT04#RING,RBT04__RBT07#B,4
2700.0,165,237,2.5,2016.0,1627.4,RBT04__RBT07#B,RBT04#RING,4
2720.0,166,190,23.89,2392.8,508.8,DB02__RBT02#A,DB02__TN8#A,5
2820.0,117,237,21.98,2028.2,1628.3,RBT04__RBT07#B,RBT04#RING,4
2900.0,0,5,19.27,736.2,4219.3,DK01__DB01#A,DB01__TN7#A,0
2960.0,117,237,5.21,2014.7,1627.1,RBT04__RBT07#B,RBT04#RING,4
3000.0,13,78,42.91,448.4,2745.3,TN10__RBT11#A,RBT11#RING,1
3120.0,63,67,10.8,2022.6,1628.1,RBT04#RING,RBT04__RBT07#B,4
3140.0,63,67,43.94,1996.9,1619.1,RBT04#RING,RBT04__RBT07#B,4
3200.0,20,67,32.61,2033.6,1627.6,RBT04#RING,RBT04__RBT07#B,4
3220.0,20,67,20.37,2007.4,1624.7,RBT04#RING,RBT04__RBT07#B,4
3420.0,20,44,40.32,2092.6,1608.5,RBT04#RING,DK05__RBT04#A,4
3500.0,144,170,42.36,739.1,4215.1,DK01__DB01#A,DB01__TN2#A,0
3500.0,148,170,47.47,772.8,4242.1,DB01__TN7#A,DB01__TN2#A,0
3520.0,148,170,49.37,795.7,4260.2,DB01__TN7#A,DB01__TN2#A,0
3620.0,53,196,42.13,768.9,4162.6,DB01__TN2#B,DK01__DB01#B,3
4340.0,196,242,6.03,634.5,3427.4,DK01__RBT15#A,RBT15#RING,5
4840.0,56,240,20.33,763.7,4171.6,DB01__TN7#B,DK01__DB01#B,3
5100.0,200,124,48.42,828.9,4216.6,DB01__TN7#B,DB01__TN2#B,3
5100.0,210,232,43.91,1445.9,1852.1,RBT06__RBT07#A,RBT06#RING,1
