route_id,pair,route_key,direction,route_type,route_rank,route_length_m,n_nodes,n_clusters_touched,cluster_sequence,cluster_coverage_sequence
DB01_to_DK03_forward_main_02,DB01_to_DK03,forward_main_02,forward,main,2,4000.609665440988,69,1,0,0:0.362
DB01_to_DK03_forward_main_04,DB01_to_DK03,forward_main_04,forward,main,4,3824.8737341529168,63,1,0,0:0.286
DB01_to_DK04_backward_backup_01,DB01_to_DK04,backward_backup_01,backward,backup,1,6704.772721475249,109,1,0,0:0.541
DB01_to_DK04_backward_main_01,DB01_to_DK04,backward_main_01,backward,main,1,6663.351365237941,109,1,0,0:0.514
DB01_to_DK04_backward_main_03,DB01_to_DK04,backward_main_03,backward,main,3,1298.5281374238575,22,1,0,0:0.364
DB01_to_DK04_backward_main_04,DB01_to_DK04,backward_main_04,backward,main,4,1298.5281374238575,22,1,0,0:0.364
DB01_to_DK04_forward_backup_01,DB01_to_DK04,forward_backup_01,forward,backup,1,5019.848480983501,84,1,0,0:0.524
DB01_to_DK04_forward_backup_02,DB01_to_DK04,forward_backup_02,forward,backup,2,7529.036790187178,123,1,0,0:0.455
DB01_to_DK04_forward_main_01,DB01_to_DK04,forward_main_01,forward,main,1,5019.8484809835,84,1,0,0:0.643
DB01_to_DK04_forward_main_02,DB01_to_DK04,forward_main_02,forward,main,2,7358.326112068524,120,1,0,0:0.483
DB01_to_DK04_forward_main_04,DB01_to_DK04,forward_main_04,forward,main,4,1298.5281374238575,22,1,0,0:0.364
DB01_to_DK05_backward_backup_01,DB01_to_DK05,backward_backup_01,backward,backup,1,7330.508652763321,124,2,0;1,0:0.274;1:0.032
DB01_to_DK05_backward_main_01,DB01_to_DK05,backward_main_01,backward,main,1,6835.533905932738,117,2,0;1,0:0.453;1:0.034
DB01_to_DK05_backward_main_03,DB01_to_DK05,backward_main_03,backward,main,3,3679.8989873223336,63,1,0,0:0.810
DB01_to_DK05_backward_main_04,DB01_to_DK05,backward_main_04,backward,main,4,3679.8989873223336,63,1,0,0:0.810
DB01_to_DK05_forward_backup_01,DB01_to_DK05,forward_backup_01,forward,backup,1,4850.6096654409885,86,1,0,0:0.709
DB01_to_DK05_forward_backup_02,DB01_to_DK05,forward_backup_02,forward,backup,2,5092.031021678297,90,1,0,0:0.478
DB01_to_DK05_forward_backup_03,DB01_to_DK05,forward_backup_03,forward,backup,3,5345.584412271572,93,1,0,0:0.290
DB01_to_DK05_forward_main_01,DB01_to_DK05,forward_main_01,forward,main,1,4821.320343559642,85,1,0,0:0.741
DB01_to_DK05_forward_main_02,DB01_to_DK05,forward_main_02,forward,main,2,4879.898987322333,87,1,0,0:0.644
DB01_to_DK05_forward_main_03,DB01_to_DK05,forward_main_03,forward,main,3,5062.741699796952,89,1,0,0:0.236
DB01_to_DK06_backward_backup_01,DB01_to_DK06,backward_backup_01,backward,backup,1,5542.031021678298,99,1,0,0:0.434
DB01_to_DK06_backward_backup_02,DB01_to_DK06,backward_backup_02,backward,backup,2,8492.640687119285,146,2,0;1,0:0.295;1:0.007
DB01_to_DK06_backward_main_01,DB01_to_DK06,backward_main_01,backward,main,1,9099.747468305834,154,1,0,0:0.299
DB01_to_DK06_backward_main_02,DB01_to_DK06,backward_main_02,backward,main,2,8109.797974644666,140,2,0;1,0:0.286;1:0.007
DB01_to_DK06_backward_main_03,DB01_to_DK06,backward_main_03,backward,main,3,3222.792206135786,58,1,0,0:0.534
DB01_to_DK06_backward_main_04,DB01_to_DK06,backward_main_04,backward,main,4,3222.792206135786,58,1,0,0:0.534
DB01_to_DK06_forward_backup_01,DB01_to_DK06,forward_backup_01,forward,backup,1,3717.766952966369,65,1,0,0:0.615
DB01_to_DK06_forward_backup_02,DB01_to_DK06,forward_backup_02,forward,backup,2,9906.85424949238,166,2,1;0,1:0.018;0:0.102
DB01_to_DK06_forward_main_01,DB01_to_DK06,forward_main_01,forward,main,1,3788.477631085024,66,1,0,0:0.667
DB01_to_DK06_forward_main_02,DB01_to_DK06,forward_main_02,forward,main,2,10006.85424949238,168,2,1;0,1:0.024;0:0.095
DB01_to_DK06_forward_main_03,DB01_to_DK06,forward_main_03,forward,main,3,3222.792206135786,58,1,0,0:0.534
DB01_to_DK06_forward_main_04,DB01_to_DK06,forward_main_04,forward,main,4,3222.792206135786,58,1,0,0:0.534
DB02_to_DK01_backward_backup_01,DB02_to_DK01,backward_backup_01,backward,backup,1,4281.980515339464,68,2,0;1,0:0.485;1:0.059
DB02_to_DK01_backward_backup_02,DB02_to_DK01,backward_backup_02,backward,backup,2,3574.8737341529168,58,2,0;1,0:0.241;1:0.155
DB02_to_DK01_backward_main_01,DB02_to_DK01,backward_main_01,backward,main,1,4040.559159102155,64,2,0;1,0:0.594;1:0.062
DB02_to_DK01_backward_main_02,DB02_to_DK01,backward_main_02,backward,main,2,3757.7164466275353,60,2,0;1,0:0.267;1:0.100
DB02_to_DK01_backward_main_03,DB02_to_DK01,backward_main_03,backward,main,3,3140.559159102155,46,2,0;1,0:0.478;1:0.217
DB02_to_DK01_backward_main_04,DB02_to_DK01,backward_main_04,backward,main,4,3140.559159102155,46,2,0;1,0:0.478;1:0.217
DB02_to_DK01_forward_backup_01,DB02_to_DK01,forward_backup_01,forward,backup,1,3316.295090390226,52,2,1;0,1:0.154;0:0.346
DB02_to_DK01_forward_backup_02,DB02_to_DK01,forward_backup_02,forward,backup,2,3433.452377915607,56,2,1;0,1:0.196;0:0.286
DB02_to_DK01_forward_main_01,DB02_to_DK01,forward_main_01,forward,main,1,3287.005768508881,51,2,1;0,1:0.137;0:0.392
DB02_to_DK01_forward_main_02,DB02_to_DK01,forward_main_02,forward,main,2,3433.452377915607,56,2,1;0,1:0.161;0:0.232
DB02_to_DK01_forward_main_04,DB02_to_DK01,forward_main_04,forward,main,4,3140.559159102155,46,2,1;0,1:0.217;0:0.478
DB02_to_DK02_backward_backup_01,DB02_to_DK02,backward_backup_01,backward,backup,1,6139.087296526011,101,2,0;1,0:0.574;1:0.040
