node_key,node_id,x,y,z,slowness,label,label_prefix,risk_total,flz_support,emergency_risk,hit_count,visit_count,pair_hit_count,direction_hit_count,route_type_hit_count,route_ids,pairs,directions,route_types,route_graph_degree,is_nofly,density_hit_count,is_flz,area_ix,area_iy,area_id
8533,8533,2450.0,4200.0,0.0,0.05525,NONE,NONE,0.0,0.961691,0.038309,6.0,6.0,5.0,2.0,2.0,DB01_to_DK02_backward_backup_02;DB01_to_DK02_forward_main_03;DB01_to_DK03_forward_main_02;DB01_to_DK06_forward_main_02;DB02_to_DK02_backward_backup_02;DK01_to_DK03_forward_main_03,DB01_to_DK02;DB01_to_DK03;DB01_to_DK06;DB02_to_DK02;DK01_to_DK03,backward;forward,backup;main,4.0,False,6.0,False,2,4,2_4
8534,8534,2500.0,4200.0,0.0,0.05525,NONE,NONE,0.0,0.952345,0.047655,12.0,12.0,9.0,2.0,2.0,DB01_to_DK02_forward_backup_03;DB01_to_DK03_backward_main_02;DB01_to_DK03_forward_backup_01;DK01_to_DK02_forward_backup_03;DK01_to_DK03_backward_main_03;DK01_to_DK03_forward_backup_03;DK01_to_DK05_forward_backup_03;DK01_to_DK06_backward_main_04;DK01_to_DK06_forward_backup_04;DK02_to_DK03_forward_backup_01;DK03_to_DK05_forward_backup_01;DK03_to_DK06_forward_backup_01,DB01_to_DK02;DB01_to_DK03;DK01_to_DK02;DK01_to_DK03;DK01_to_DK05;DK01_to_DK06;DK02_to_DK03;DK03_to_DK05;DK03_to_DK06,backward;forward,backup;main,5.0,False,12.0,False,2,4,2_4
8535,8535,2550.0,4200.0,0.0,0.05525,NONE,NONE,0.0,0.939413,0.060587,7.0,7.0,7.0,2.0,2.0,DB01_to_DK03_forward_main_01;DK01_to_DK03_forward_main_01;DK01_to_DK06_backward_backup_04;DK02_to_DK03_forward_main_01;DK03_to_DK04_backward_main_02;DK03_to_DK05_forward_main_01;DK03_to_DK06_forward_main_01,DB01_to_DK03;DK01_to_DK03;DK01_to_DK06;DK02_to_DK03;DK03_to_DK04;DK03_to_DK05;DK03_to_DK06,backward;forward,backup;main,4.0,False,7.0,False,2,4,2_4
8536,8536,2600.0,4200.0,0.0,0.05525,NONE,NONE,0.0,0.923044,0.076956,3.0,3.0,2.0,2.0,1.0,DK01_to_DK03_forward_backup_01;DK03_to_DK04_backward_backup_02;DK03_to_DK04_forward_backup_01,DK01_to_DK03;DK03_to_DK04,backward;forward,backup,2.0,False,3.0,False,2,4,2_4
8537,8537,2650.0,4200.0,0.0,0.05525,NONE,NONE,0.0,0.903425,0.096575,3.0,3.0,1.0,2.0,1.0,DK03_to_DK04_backward_main_04;DK03_to_DK04_forward_main_01;DK03_to_DK04_forward_main_04,DK03_to_DK04,backward;forward,main,2.0,False,3.0,False,2,4,2_4
8542,8542,2900.0,4200.0,0.0,0.058982,NONE,NONE,0.0,0.765231,0.234769,3.0,3.0,1.0,2.0,1.0,DB01_to_DK03_backward_main_03;DB01_to_DK03_backward_main_04;DB01_to_DK03_forward_main_04,DB01_to_DK03,backward;forward,main,2.0,False,3.0,False,2,4,2_4
8543,8543,2950.0,4200.0,0.0,0.060125,NONE,NONE,0.0,0.731616,0.268384,1.0,1.0,1.0,1.0,1.0,DB02_to_DK03_forward_main_02,DB02_to_DK03,forward,main,2.0,False,1.0,False,2,4,2_4
8544,8544,3000.0,4200.0,0.0,0.06131,NONE,NONE,0.0,0.69675,0.30325,4.0,4.0,2.0,2.0,1.0,DB02_to_DK03_backward_backup_01;DB02_to_DK03_forward_backup_02;DK03_to_DK06_backward_backup_01;DK03_to_DK06_forward_backup_02,DB02_to_DK03;DK03_to_DK06,backward;forward,backup,2.0,False,4.0,False,3,4,3_4
8545,8545,3050.0,4200.0,0.0,0.062527,NONE,NONE,0.0,0.66096,0.33904,6.0,6.0,6.0,1.0,1.0,DB02_to_DK03_backward_main_01;DK01_to_DK03_backward_main_01;DK02_to_DK03_backward_main_01;DK03_to_DK04_backward_main_01;DK03_to_DK05_backward_main_01;DK03_to_DK06_backward_main_01,DB02_to_DK03;DK01_to_DK03;DK02_to_DK03;DK03_to_DK04;DK03_to_DK05;DK03_to_DK06,backward,main,2.0,False,6.0,False,3,4,3_4
8546,8546,3100.0,4200.0,0.0,0.063765,NONE,NONE,0.0,0.624563,0.375437,12.0,12.0,7.0,2.0,2.0,DB01_to_DK03_backward_main_01;DB02_to_DK03_backward_main_03;DB02_to_DK03_backward_main_04;DB02_to_DK03_forward_main_01;DB02_to_DK03_forward_main_03;DB02_to_DK03_forward_main_04;DK01_to_DK03_backward_backup_01;DK01_to_DK03_forward_main_02;DK02_to_DK03_backward_backup_01;DK03_to_DK04_backward_backup_01;DK03_to_DK05_backward_backup_01;DK03_to_DK06_forward_main_02,DB01_to_DK03;DB02_to_DK03;DK01_to_DK03;DK02_to_DK03;DK03_to_DK04;DK03_to_DK05;DK03_to_DK06,backward;forward,backup;main,2.0,False,12.0,False,3,4,3_4
8547,8547,3150.0,4200.0,0.0,0.065012,NONE,NONE,0.0,0.58787,0.41213,5.0,5.0,5.0,2.0,1.0,DB01_to_DK03_backward_backup_01;DB02_to_DK03_forward_backup_01;DK01_to_DK03_forward_backup_02;DK03_to_DK04_forward_backup_02;DK03_to_DK06_forward_backup_03,DB01_to_DK03;DB02_to_DK03;DK01_to_DK03;DK03_to_DK04;DK03_to_DK06,backward;forward,backup,2.0,False,5.0,False,3,4,3_4
8548,8548,3200.0,4200.0,0.0,0.06626,NONE,NONE,0.0,0.551175,0.448825,3.0,3.0,3.0,2.0,2.0,DK01_to_DK03_backward_backup_02;DK03_to_DK04_forward_main_02;DK03_to_DK06_forward_main_03,DK01_to_DK03;DK03_to_DK04;DK03_to_DK06,backward;forward,backup;main,2.0,False,3.0,False,3,4,3_4
8549,8549,3250.0,4200.0,0.0,0.067498,NONE,NONE,0.0,0.514756,0.485244,2.0,2.0,2.0,1.0,2.0,DK01_to_DK03_backward_main_02;DK03_to_DK06_backward_backup_02,DK01_to_DK03;DK03_to_DK06,backward,backup;main,2.0,False,2.0,False,3,4,3_4
8550,8550,3300.0,4200.0,0.0,0.068718,NONE,NONE,0.0,0.478869,0.521131,2.0,2.0,2.0,1.0,2.0,DK01_to_DK03_backward_backup_04;DK03_to_DK06_backward_main_02,DK01_to_DK03;DK03_to_DK06,backward,backup;main,2.0,False,2.0,False,3,4,3_4
8551,8551,3350.0,4200.0,0.0,0.069913,NONE,NONE,0.0,0.443747,0.556253,1.0,1.0,1.0,1.0,1.0,DK01_to_DK03_backward_main_04,DK01_to_DK03,backward,main,2.0,False,1.0,False,3,4,3_4
8588,8588,150.0,4250.0,0.0,0.084262,NONE,NONE,0.0,0.021708,0.978292,1.0,1.0,1.0,1.0,1.0,DB01_to_DK02_forward_backup_03,DB01_to_DK02,forward,backup,2.0,False,1.0,False,0,4,0_4
8589,8589,200.0,4250.0,0.0,0.084125,NONE,NONE,0.0,0.025728,0.974272,3.0,3.0,2.0,2.0,2.0,DB01_to_DK02_backward_backup_02;DB01_to_DK02_forward_main_03;DB02_to_DK02_backward_backup_02,DB01_to_DK02;DB02_to_DK02,backward;forward,backup;main,2.0,False,3.0,False,0,4,0_4
8590,8590,250.0,4250.0,0.0,0.083967,NONE,NONE,0.0,0.030375,0.969625,1.0,1.0,1.0,1.0,1.0,DK01_to_DK02_forward_backup_03,DK01_to_DK02,forward,backup,2.0,False,1.0,False,0,4,0_4
8591,8591,300.0,4250.0,0.0,0.083786,NONE,NONE,0.0,0.03572,0.96428,3.0,3.0,2.0,2.0,2.0,DK01_to_DK02_backward_backup_02;DK01_to_DK02_forward_main_03;DK02_to_DK04_forward_backup_02,DK01_to_DK02;DK02_to_DK04,backward;forward,backup;main,2.0,False,3.0,False,0,4,0_4
8592,8592,350.0,4250.0,0.0,0.083577,NONE,NONE,0.0,0.041843,0.958157,5.0,5.0,4.0,2.0,2.0,DB01_to_DK02_backward_main_02;DB01_to_DK02_forward_backup_02;DB02_to_DK02_backward_main_02;DK01_to_DK02_forward_main_02;DK02_to_DK04_backward_main_01,DB01_to_DK02;DB02_to_DK02;DK01_to_DK02;DK02_to_DK04,backward;forward,backup;main,2.0,False,5.0,False,0,4,0_4
8593,8593,400.0,4250.0,0.0,0.08334,NONE,NONE,0.0,0.048824,0.951176,5.0,5.0,3.0,2.0,2.0,DB01_to_DK02_forward_main_02;DK01_to_DK02_backward_main_02;DK01_to_DK02_forward_backup_02;DK02_to_DK04_backward_backup_01;DK02_to_DK04_forward_main_02,DB01_to_DK02;DK01_to_DK02;DK02_to_DK04,backward;forward,backup;main,2.0,False,5.0,False,0,4,0_4
8594,8594,450.0,4250.0,0.0,0.083071,NONE,NONE,0.0,0.056748,0.943252,8.0,8.0,8.0,2.0,1.0,DB01_to_DK02_forward_backup_01;DB02_to_DK02_backward_backup_01;DK01_to_DK02_forward_backup_01;DK02_to_DK03_forward_backup_01;DK02_to_DK04_forward_backup_01;DK02_to_DK05_forward_backup_01;DK02_to_DK06_forward_backup_01;DK05_to_DK06_forward_backup_02,DB01_to_DK02;DB02_to_DK02;DK01_to_DK02;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK05_to_DK06,backward;forward,backup,2.0,False,8.0,False,0,4,0_4
8595,8595,500.0,4250.0,0.0,0.082766,NONE,NONE,0.0,0.0657,0.9343,20.0,20.0,8.0,2.0,1.0,DB01_to_DK02_forward_main_01;DB02_to_DK02_backward_main_01;DK01_to_DK02_forward_main_01;DK02_to_DK03_backward_main_03;DK02_to_DK03_backward_main_04;DK02_to_DK03_forward_main_01;DK02_to_DK03_forward_main_03;DK02_to_DK03_forward_main_04;DK02_to_DK04_forward_main_01;DK02_to_DK05_backward_main_03;DK02_to_DK05_backward_main_04;DK02_to_DK05_forward_main_01;DK02_to_DK05_forward_main_03;DK02_to_DK05_forward_main_04;DK02_to_DK06_backward_main_03;DK02_to_DK06_backward_main_04;DK02_to_DK06_forward_main_01;DK02_to_DK06_forward_main_03;DK02_to_DK06_forward_main_04;DK05_to_DK06_forward_main_02,DB01_to_DK02;DB02_to_DK02;DK01_to_DK02;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK05_to_DK06,backward;forward,main,2.0,False,20.0,False,0,4,0_4
8605,8605,1000.0,4250.0,0.0,0.077203,NONE,NONE,0.0,0.229316,0.770684,22.0,22.0,13.0,2.0,1.0,DB01_to_DK02_forward_main_01;DB01_to_DK05_backward_main_01;DB01_to_DK05_backward_main_03;DB01_to_DK05_backward_main_04;DB02_to_DK02_backward_main_01;DB02_to_DK05_backward_main_03;DB02_to_DK05_backward_main_04;DB02_to_DK05_forward_main_01;DB02_to_DK05_forward_main_04;DK01_to_DK02_forward_main_01;DK01_to_DK05_backward_main_01;DK01_to_DK05_backward_main_04;DK02_to_DK03_forward_main_01;DK02_to_DK04_forward_main_01;DK02_to_DK05_backward_main_01;DK02_to_DK05_forward_main_01;DK02_to_DK06_forward_main_01;DK03_to_DK05_backward_main_01;DK04_to_DK05_backward_main_01;DK04_to_DK05_backward_main_03;DK04_to_DK05_backward_main_04;DK05_to_DK06_backward_main_01,DB01_to_DK02;DB01_to_DK05;DB02_to_DK02;DB02_to_DK05;DK01_to_DK02;DK01_to_DK05;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK03_to_DK05;DK04_to_DK05;DK05_to_DK06,backward;forward,main,3.0,False,22.0,False,1,4,1_4
8606,8606,1050.0,4250.0,0.0,0.076353,NONE,NONE,0.0,0.254325,0.745675,20.0,20.0,13.0,2.0,2.0,DB01_to_DK02_forward_backup_01;DB01_to_DK05_backward_backup_01;DB01_to_DK05_forward_main_01;DB02_to_DK02_backward_backup_01;DB02_to_DK05_backward_main_01;DB02_to_DK05_forward_backup_01;DK01_to_DK02_forward_backup_01;DK01_to_DK05_backward_backup_01;DK01_to_DK05_forward_main_01;DK02_to_DK03_forward_backup_01;DK02_to_DK04_forward_backup_01;DK02_to_DK05_backward_backup_01;DK02_to_DK05_forward_main_01;DK02_to_DK06_forward_backup_01;DK03_to_DK05_backward_backup_01;DK03_to_DK05_forward_main_01;DK04_to_DK05_backward_backup_01;DK04_to_DK05_forward_main_01;DK05_to_DK06_backward_backup_01;DK05_to_DK06_forward_main_01,DB01_to_DK02;DB01_to_DK05;DB02_to_DK02;DB02_to_DK05;DK01_to_DK02;DK01_to_DK05;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK03_to_DK05;DK04_to_DK05;DK05_to_DK06,backward;forward,backup;main,3.0,False,20.0,False,1,4,1_4
