edge_key,x1,y1,x2,y2,edge_distance_m,edge_hit_count,edge_visit_count,pair_hit_count,direction_hit_count,route_ids,pairs,directions
8511|8512,1375.0,4200.0,1375.0,4200.0,50.0,13,14,13,2,DB01_to_DK02_forward_backup_01;DB01_to_DK05_forward_backup_01;DB02_to_DK02_backward_backup_01;DB02_to_DK05_backward_backup_01;DK01_to_DK02_forward_backup_01;DK01_to_DK05_forward_backup_01;DK02_to_DK03_forward_backup_01;DK02_to_DK04_forward_backup_01;DK02_to_DK05_forward_backup_01;DK02_to_DK06_forward_backup_01;DK03_to_DK05_forward_backup_01;DK04_to_DK05_forward_backup_01;DK05_to_DK06_forward_backup_01,DB01_to_DK02;DB01_to_DK05;DB02_to_DK02;DB02_to_DK05;DK01_to_DK02;DK01_to_DK05;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK03_to_DK05;DK04_to_DK05;DK05_to_DK06,backward;forward
8512|8513,1425.0,4200.0,1425.0,4200.0,50.0,13,14,13,2,DB01_to_DK02_forward_backup_01;DB01_to_DK05_forward_backup_01;DB02_to_DK02_backward_backup_01;DB02_to_DK05_backward_backup_01;DK01_to_DK02_forward_backup_01;DK01_to_DK05_forward_backup_01;DK02_to_DK03_forward_backup_01;DK02_to_DK04_forward_backup_01;DK02_to_DK05_forward_backup_01;DK02_to_DK06_forward_backup_01;DK03_to_DK05_forward_backup_01;DK04_to_DK05_forward_backup_01;DK05_to_DK06_forward_backup_01,DB01_to_DK02;DB01_to_DK05;DB02_to_DK02;DB02_to_DK05;DK01_to_DK02;DK01_to_DK05;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK03_to_DK05;DK04_to_DK05;DK05_to_DK06,backward;forward
8513|8514,1475.0,4200.0,1475.0,4200.0,50.0,13,14,13,2,DB01_to_DK02_forward_backup_01;DB01_to_DK05_forward_backup_01;DB02_to_DK02_backward_backup_01;DB02_to_DK05_backward_backup_01;DK01_to_DK02_forward_backup_01;DK01_to_DK05_forward_backup_01;DK02_to_DK03_forward_backup_01;DK02_to_DK04_forward_backup_01;DK02_to_DK05_forward_backup_01;DK02_to_DK06_forward_backup_01;DK03_to_DK05_forward_backup_01;DK04_to_DK05_forward_backup_01;DK05_to_DK06_forward_backup_01,DB01_to_DK02;DB01_to_DK05;DB02_to_DK02;DB02_to_DK05;DK01_to_DK02;DK01_to_DK05;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK03_to_DK05;DK04_to_DK05;DK05_to_DK06,backward;forward
8514|8515,1525.0,4200.0,1525.0,4200.0,50.0,13,14,13,2,DB01_to_DK02_forward_backup_01;DB01_to_DK05_forward_backup_01;DB02_to_DK02_backward_backup_01;DB02_to_DK05_backward_backup_01;DK01_to_DK02_forward_backup_01;DK01_to_DK05_forward_backup_01;DK02_to_DK03_forward_backup_01;DK02_to_DK04_forward_backup_01;DK02_to_DK05_forward_backup_01;DK02_to_DK06_forward_backup_01;DK03_to_DK05_forward_backup_01;DK04_to_DK05_forward_backup_01;DK05_to_DK06_forward_backup_01,DB01_to_DK02;DB01_to_DK05;DB02_to_DK02;DB02_to_DK05;DK01_to_DK02;DK01_to_DK05;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK03_to_DK05;DK04_to_DK05;DK05_to_DK06,backward;forward
8515|8516,1575.0,4200.0,1575.0,4200.0,50.0,13,14,13,2,DB01_to_DK02_forward_backup_01;DB01_to_DK05_forward_backup_01;DB02_to_DK02_backward_backup_01;DB02_to_DK05_backward_backup_01;DK01_to_DK02_forward_backup_01;DK01_to_DK05_forward_backup_01;DK02_to_DK03_forward_backup_01;DK02_to_DK04_forward_backup_01;DK02_to_DK05_forward_backup_01;DK02_to_DK06_forward_backup_01;DK03_to_DK05_forward_backup_01;DK04_to_DK05_forward_backup_01;DK05_to_DK06_forward_backup_01,DB01_to_DK02;DB01_to_DK05;DB02_to_DK02;DB02_to_DK05;DK01_to_DK02;DK01_to_DK05;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK03_to_DK05;DK04_to_DK05;DK05_to_DK06,backward;forward
2533|2635,426.9230769230769,1276.923076923077,423.0769230769231,1273.076923076923,70.71067811865476,13,13,6,2,DB01_to_DK04_backward_main_03;DB01_to_DK04_backward_main_04;DB01_to_DK04_forward_main_01;DB01_to_DK04_forward_main_04;DB02_to_DK04_backward_main_03;DB02_to_DK04_backward_main_04;DB02_to_DK04_forward_main_01;DB02_to_DK04_forward_main_03;DB02_to_DK04_forward_main_04;DK01_to_DK04_backward_main_01;DK03_to_DK04_backward_main_01;DK04_to_DK05_backward_main_01;DK04_to_DK06_backward_main_01,DB01_to_DK04;DB02_to_DK04;DK01_to_DK04;DK03_to_DK04;DK04_to_DK05;DK04_to_DK06,backward;forward
2635|2737,476.9230769230769,1326.923076923077,473.0769230769231,1323.076923076923,70.71067811865476,13,13,6,2,DB01_to_DK04_backward_main_03;DB01_to_DK04_backward_main_04;DB01_to_DK04_forward_main_01;DB01_to_DK04_forward_main_04;DB02_to_DK04_backward_main_03;DB02_to_DK04_backward_main_04;DB02_to_DK04_forward_main_01;DB02_to_DK04_forward_main_03;DB02_to_DK04_forward_main_04;DK01_to_DK04_backward_main_01;DK03_to_DK04_backward_main_01;DK04_to_DK05_backward_main_01;DK04_to_DK06_backward_main_01,DB01_to_DK04;DB02_to_DK04;DK01_to_DK04;DK03_to_DK04;DK04_to_DK05;DK04_to_DK06,backward;forward
2709|2710,4188.461538461538,1300.0,4161.538461538462,1300.0,50.0,13,13,7,2,DB01_to_DB02_backward_backup_02;DB01_to_DB02_backward_main_02;DB01_to_DB02_backward_main_04;DB02_to_DK01_backward_backup_02;DB02_to_DK01_backward_main_02;DB02_to_DK01_forward_main_02;DB02_to_DK02_backward_backup_02;DB02_to_DK03_forward_main_02;DB02_to_DK04_forward_main_02;DB02_to_DK04_forward_main_03;DB02_to_DK04_forward_main_04;DB02_to_DK05_forward_main_02;DB02_to_DK06_forward_backup_03,DB01_to_DB02;DB02_to_DK01;DB02_to_DK02;DB02_to_DK03;DB02_to_DK04;DB02_to_DK05;DB02_to_DK06,backward;forward
2710|2711,4238.461538461538,1300.0,4211.538461538462,1300.0,50.0,13,13,7,2,DB01_to_DB02_backward_backup_02;DB01_to_DB02_backward_main_02;DB01_to_DB02_backward_main_04;DB02_to_DK01_backward_backup_02;DB02_to_DK01_backward_main_02;DB02_to_DK01_forward_main_02;DB02_to_DK02_backward_backup_02;DB02_to_DK03_forward_main_02;DB02_to_DK04_forward_main_02;DB02_to_DK04_forward_main_03;DB02_to_DK04_forward_main_04;DB02_to_DK05_forward_main_02;DB02_to_DK06_forward_backup_03,DB01_to_DB02;DB02_to_DK01;DB02_to_DK02;DB02_to_DK03;DB02_to_DK04;DB02_to_DK05;DB02_to_DK06,backward;forward
2911|3012,4150.0,1430.7692307692307,4150.0,1419.2307692307693,50.0,13,13,7,2,DB01_to_DB02_backward_backup_01;DB01_to_DB02_forward_main_02;DB02_to_DK01_backward_main_01;DB02_to_DK01_forward_backup_01;DB02_to_DK02_backward_main_01;DB02_to_DK02_forward_backup_01;DB02_to_DK03_backward_main_03;DB02_to_DK03_backward_main_04;DB02_to_DK03_forward_backup_01;DB02_to_DK04_backward_main_01;DB02_to_DK05_backward_main_01;DB02_to_DK06_backward_backup_02;DB02_to_DK06_forward_backup_02,DB01_to_DB02;DB02_to_DK01;DB02_to_DK02;DB02_to_DK03;DB02_to_DK04;DB02_to_DK05;DB02_to_DK06,backward;forward
3211|3311,3988.4615384615386,1561.5384615384614,3961.5384615384614,1588.4615384615386,70.71067811865476,13,13,6,2,DB01_to_DB02_backward_main_01;DB02_to_DK01_backward_main_03;DB02_to_DK01_backward_main_04;DB02_to_DK01_forward_backup_01;DB02_to_DK01_forward_main_04;DB02_to_DK02_forward_main_01;DB02_to_DK02_forward_main_03;DB02_to_DK02_forward_main_04;DB02_to_DK03_forward_backup_01;DB02_to_DK04_forward_backup_02;DB02_to_DK05_backward_backup_02;DB02_to_DK05_forward_main_01;DB02_to_DK05_forward_main_04,DB01_to_DB02;DB02_to_DK01;DB02_to_DK02;DB02_to_DK03;DB02_to_DK04;DB02_to_DK05,backward;forward
3772|3874,1769.2307692307693,1869.2307692307693,1780.7692307692307,1880.7692307692307,70.71067811865476,13,13,7,2,DB01_to_DB02_backward_main_01;DB01_to_DB02_forward_main_02;DB01_to_DK01_backward_main_03;DB01_to_DK01_backward_main_04;DB01_to_DK01_forward_main_01;DB01_to_DK01_forward_main_04;DB01_to_DK02_backward_main_01;DB01_to_DK02_forward_main_01;DB01_to_DK03_forward_main_01;DB01_to_DK04_backward_main_01;DB01_to_DK04_forward_main_01;DB01_to_DK05_forward_main_01;DB01_to_DK06_forward_main_01,DB01_to_DB02;DB01_to_DK01;DB01_to_DK02;DB01_to_DK03;DB01_to_DK04;DB01_to_DK05;DB01_to_DK06,backward;forward
4293|4294,2580.769230769231,2100.0,2569.230769230769,2100.0,50.0,13,13,11,2,DB01_to_DB02_backward_main_01;DB01_to_DK01_backward_main_01;DB01_to_DK02_backward_main_01;DB01_to_DK04_forward_main_02;DK01_to_DK04_forward_backup_02;DK01_to_DK06_backward_main_04;DK01_to_DK06_forward_backup_04;DK02_to_DK04_backward_backup_01;DK02_to_DK04_forward_backup_02;DK03_to_DK04_forward_backup_02;DK03_to_DK06_forward_main_03;DK04_to_DK05_forward_main_02;DK05_to_DK06_forward_main_02,DB01_to_DB02;DB01_to_DK01;DB01_to_DK02;DB01_to_DK04;DK01_to_DK04;DK01_to_DK06;DK02_to_DK04;DK03_to_DK04;DK03_to_DK06;DK04_to_DK05;DK05_to_DK06,backward;forward
4603|4704,2900.0,2265.3846153846152,2900.0,2284.6153846153848,50.0,13,13,10,2,DB01_to_DK01_backward_backup_01;DB01_to_DK01_backward_backup_02;DB01_to_DK01_forward_main_02;DB01_to_DK02_forward_main_02;DB01_to_DK04_forward_main_02;DB02_to_DK03_forward_main_02;DB02_to_DK05_forward_main_02;DK01_to_DK04_forward_main_02;DK01_to_DK06_backward_main_04;DK01_to_DK06_forward_backup_04;DK02_to_DK04_backward_main_01;DK04_to_DK05_forward_main_02;DK05_to_DK06_forward_backup_02,DB01_to_DK01;DB01_to_DK02;DB01_to_DK04;DB02_to_DK03;DB02_to_DK05;DK01_to_DK04;DK01_to_DK06;DK02_to_DK04;DK04_to_DK05;DK05_to_DK06,backward;forward
4704|4805,2900.0,2311.5384615384614,2900.0,2338.4615384615386,50.0,13,13,11,2,DB01_to_DK01_backward_backup_01;DB01_to_DK01_forward_main_02;DB01_to_DK02_forward_main_02;DB01_to_DK04_forward_main_02;DB02_to_DK03_forward_main_02;DB02_to_DK05_forward_main_02;DK01_to_DK04_forward_main_02;DK01_to_DK06_backward_main_04;DK01_to_DK06_forward_backup_04;DK02_to_DK04_backward_main_01;DK04_to_DK05_forward_main_02;DK04_to_DK06_forward_backup_02;DK05_to_DK06_forward_backup_02,DB01_to_DK01;DB01_to_DK02;DB01_to_DK04;DB02_to_DK03;DB02_to_DK05;DK01_to_DK04;DK01_to_DK06;DK02_to_DK04;DK04_to_DK05;DK04_to_DK06;DK05_to_DK06,backward;forward
5109|5210,2950.0,2519.230769230769,2950.0,2530.769230769231,50.0,13,13,12,2,DB01_to_DK01_backward_main_01;DB01_to_DK02_backward_main_02;DB01_to_DK04_forward_backup_02;DB02_to_DK05_forward_backup_02;DB02_to_DK06_forward_backup_01;DK01_to_DK04_forward_backup_02;DK01_to_DK06_backward_backup_03;DK01_to_DK06_forward_main_04;DK02_to_DK04_forward_backup_02;DK03_to_DK04_backward_backup_01;DK03_to_DK05_backward_backup_01;DK04_to_DK06_forward_main_02;DK05_to_DK06_forward_backup_02,DB01_to_DK01;DB01_to_DK02;DB01_to_DK04;DB02_to_DK05;DB02_to_DK06;DK01_to_DK04;DK01_to_DK06;DK02_to_DK04;DK03_to_DK04;DK03_to_DK05;DK04_to_DK06;DK05_to_DK06,backward;forward
5210|5311,2950.0,2569.230769230769,2950.0,2580.769230769231,50.0,13,13,12,2,DB01_to_DK01_backward_main_01;DB01_to_DK02_backward_main_02;DB01_to_DK04_forward_backup_02;DB02_to_DK05_forward_backup_02;DB02_to_DK06_forward_backup_01;DK01_to_DK04_forward_backup_02;DK01_to_DK06_backward_backup_03;DK01_to_DK06_forward_main_04;DK02_to_DK04_forward_backup_02;DK03_to_DK04_backward_backup_01;DK03_to_DK05_backward_backup_01;DK04_to_DK06_forward_main_02;DK05_to_DK06_forward_backup_02,DB01_to_DK01;DB01_to_DK02;DB01_to_DK04;DB02_to_DK05;DB02_to_DK06;DK01_to_DK04;DK01_to_DK06;DK02_to_DK04;DK03_to_DK04;DK03_to_DK05;DK04_to_DK06;DK05_to_DK06,backward;forward
5211|5312,3000.0,2576.923076923077,3000.0,2573.076923076923,50.0,13,13,12,2,DB01_to_DK01_forward_main_02;DB01_to_DK02_backward_backup_02;DB02_to_DK01_forward_main_02;DB02_to_DK03_backward_main_01;DB02_to_DK06_forward_main_01;DK01_to_DK03_backward_main_01;DK01_to_DK04_forward_main_02;DK01_to_DK06_backward_main_04;DK01_to_DK06_forward_backup_04;DK02_to_DK03_backward_main_01;DK03_to_DK04_forward_backup_02;DK03_to_DK06_forward_main_02;DK05_to_DK06_forward_main_02,DB01_to_DK01;DB01_to_DK02;DB02_to_DK01;DB02_to_DK03;DB02_to_DK06;DK01_to_DK03;DK01_to_DK04;DK01_to_DK06;DK02_to_DK03;DK03_to_DK04;DK03_to_DK06;DK05_to_DK06,backward;forward
5311|5412,2950.0,2619.230769230769,2950.0,2630.769230769231,50.0,13,13,12,2,DB01_to_DK01_backward_main_01;DB01_to_DK02_backward_main_02;DB01_to_DK04_forward_backup_02;DB02_to_DK05_forward_backup_02;DB02_to_DK06_forward_backup_01;DK01_to_DK04_forward_backup_02;DK01_to_DK06_backward_backup_03;DK01_to_DK06_forward_main_04;DK02_to_DK04_forward_backup_02;DK03_to_DK04_backward_backup_01;DK03_to_DK05_backward_backup_01;DK04_to_DK06_forward_main_02;DK05_to_DK06_forward_backup_02,DB01_to_DK01;DB01_to_DK02;DB01_to_DK04;DB02_to_DK05;DB02_to_DK06;DK01_to_DK04;DK01_to_DK06;DK02_to_DK04;DK03_to_DK04;DK03_to_DK05;DK04_to_DK06;DK05_to_DK06,backward;forward
5512|5613,2900.0,2726.923076923077,2900.0,2723.076923076923,50.0,13,13,12,2,DB01_to_DK01_backward_main_01;DB01_to_DK02_forward_main_02;DB01_to_DK04_forward_main_02;DB02_to_DK05_forward_main_02;DB02_to_DK06_backward_backup_01;DK01_to_DK04_forward_backup_02;DK01_to_DK06_backward_main_03;DK02_to_DK04_backward_main_01;DK02_to_DK06_backward_backup_01;DK04_to_DK05_forward_main_02;DK04_to_DK06_backward_backup_01;DK04_to_DK06_forward_backup_02;DK05_to_DK06_backward_backup_01,DB01_to_DK01;DB01_to_DK02;DB01_to_DK04;DB02_to_DK05;DB02_to_DK06;DK01_to_DK04;DK01_to_DK06;DK02_to_DK04;DK02_to_DK06;DK04_to_DK05;DK04_to_DK06;DK05_to_DK06,backward;forward
5877|5977,926.9230769230769,2923.076923076923,923.0769230769231,2926.923076923077,70.71067811865476,13,13,7,2,DB01_to_DK02_backward_main_01;DB01_to_DK02_backward_main_04;DB01_to_DK02_forward_main_04;DB02_to_DK02_backward_main_04;DB02_to_DK02_forward_main_01;DB02_to_DK02_forward_main_03;DB02_to_DK02_forward_main_04;DK01_to_DK02_backward_main_01;DK01_to_DK02_backward_main_04;DK02_to_DK03_backward_main_01;DK02_to_DK05_backward_main_01;DK02_to_DK06_backward_main_01;DK05_to_DK06_forward_main_02,DB01_to_DK02;DB02_to_DK02;DK01_to_DK02;DK02_to_DK03;DK02_to_DK05;DK02_to_DK06;DK05_to_DK06,backward;forward
5915|6016,2850.0,2930.769230769231,2850.0,2919.230769230769,50.0,13,13,11,2,DB01_to_DK01_backward_main_02;DB01_to_DK01_forward_backup_02;DB01_to_DK02_forward_backup_02;DB02_to_DK01_forward_backup_02;DB02_to_DK06_backward_main_01;DK01_to_DK06_backward_main_01;DK02_to_DK04_backward_backup_01;DK02_to_DK04_forward_main_02;DK02_to_DK06_backward_main_01;DK03_to_DK06_backward_main_01;DK04_to_DK05_forward_backup_02;DK04_to_DK06_backward_main_01;DK05_to_DK06_backward_main_01,DB01_to_DK01;DB01_to_DK02;DB02_to_DK01;DB02_to_DK06;DK01_to_DK06;DK02_to_DK04;DK02_to_DK06;DK03_to_DK06;DK04_to_DK05;DK04_to_DK06;DK05_to_DK06,backward;forward
5977|6077,876.9230769230769,2973.076923076923,873.0769230769231,2976.923076923077,70.71067811865476,13,13,7,2,DB01_to_DK02_backward_main_01;DB01_to_DK02_backward_main_04;DB01_to_DK02_forward_main_04;DB02_to_DK02_backward_main_04;DB02_to_DK02_forward_main_01;DB02_to_DK02_forward_main_03;DB02_to_DK02_forward_main_04;DK01_to_DK02_backward_main_01;DK01_to_DK02_backward_main_04;DK02_to_DK03_backward_main_01;DK02_to_DK05_backward_main_01;DK02_to_DK06_backward_main_01;DK05_to_DK06_forward_main_02,DB01_to_DK02;DB02_to_DK02;DK01_to_DK02;DK02_to_DK03;DK02_to_DK05;DK02_to_DK06;DK05_to_DK06,backward;forward
