version,pair,route_key,start_label,end_label,direction,route_type,route_rank,success,message,distance_m,distance_km,total_cost,n_path_nodes,expanded_nodes,runtime_sec,mean_distance_to_main_m,duplicated_from_main,duplicated_from_previous_main,used_full_map_retry,safe_fallback,main_avoid_previous_radius_m,backup_corridor_m,backup_mean_offset_m,backup_min_offset_m,backup_separation_violation_pct,backup_separation_ok,backup_max_offset_m,distance_diff_m,flz_buffer_ok,flz_buffer_min_distance_m,flz_buffer_via,lock_mode,locked_overlap_nodes,locked_overlap_checked_nodes,locked_overlap_percent,mean_flz_support,mean_emergency_risk,mean_other_terminal_avoidance,mean_traffic_penalty_factor,route_file
v15,DK01_to_DK05,forward_backup_02,DK01,DK05,forward,backup,2,True,Path found. [safe fallback attempted],2610.660171779821,2.6106601717798212,230.8134501472053,47,96,0.4303624629974365,44.680851063829785,False,False,False,True,,50.0,44.680851063829785,9.836889044824142,3.260869565217391,True,50.0,70.71067811865441,True,35.35533905932738,,strict_lock,0,38,0.0,0.6261038654526738,0.373896134547326,0.4893637661885457,1.3914910129508364,output/thetastar_master_plan/route_nodes/DK01_to_DK05_forward_backup_02.csv
v15,DK01_to_DK05,forward_main_03,DK01,DK05,forward,main,3,True,Path found. [safe fallback attempted],2752.081528017131,2.752081528017131,235.39149019970478,49,1459,2.1930203437805176,,,False,False,True,0.0,,,,,,,,True,100.0,,strict_lock,0,42,0.0,0.6110527610345113,0.3889472389654887,0.41487006317727493,1.33189605054182,output/thetastar_master_plan/route_nodes/DK01_to_DK05_forward_main_03.csv
v15,DK01_to_DK05,forward_backup_03,DK01,DK05,forward,backup,3,True,Backup forced through FLZ buffer via ring node FLZ03.,3659.1883092036787,3.6591883092036785,300.78320361056166,63,171,1.0104494094848633,94.13831077677027,False,False,False,True,,150.0,94.13831077677027,4.913014815827743,3.7313432835820897,True,150.0,907.1067811865478,True,0.0,FLZ03,strict_lock,0,51,0.0,,,,,output/thetastar_master_plan/route_nodes/DK01_to_DK05_forward_backup_03.csv
v15,DK01_to_DK05,forward_main_04,DK01,DK05,forward,main,4,False,"Rank skipped: 5 candidate main(s) tried, none had a viable backup; no new distinct main exists under the lock/overlap limits.",,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DK01_to_DK05,forward_backup_04,DK01,DK05,forward,backup,4,False,Rank skipped: no main+backup couple found.,,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DK01_to_DK05,backward_main_01,DK05,DK01,backward,main,1,True,Route forced through FLZ buffer via FLZ04.,5026.955262170048,5.0269552621700475,380.19999607891384,80,1576,2.030503988265991,,,False,False,True,,,,,,,,,True,0.0,FLZ04,,0,71,0.0,0.568675928345216,0.4313240716547841,,,output/thetastar_master_plan/route_nodes/DK01_to_DK05_backward_main_01.csv
v15,DK01_to_DK05,backward_backup_01,DK05,DK01,backward,backup,1,True,Path found. [safe fallback attempted],5268.3766184073575,5.268376618407357,379.4882469077199,84,142,0.4826676845550537,48.214285714285715,False,False,False,True,,50.0,48.214285714285715,10.582047749963689,1.0101010101010102,True,50.0,241.42135623730974,True,35.35533905932738,,soft_lock,5,73,6.8493150684931505,0.5864987240432517,0.41350127595674846,0.11286903166322577,1.0902952253305804,output/thetastar_master_plan/route_nodes/DK01_to_DK05_backward_backup_01.csv
v15,DK01_to_DK05,backward_main_02,DK05,DK01,backward,main,2,True,Path found. [safe fallback attempted],2398.5281374238575,2.3985281374238574,216.52507245548333,44,646,0.9148366451263428,,,False,False,True,0.0,,,,,,,,True,50.0,,strict_lock,0,34,0.0,0.6068388951161343,0.39316110488386574,0.5021642392193004,1.4017313913754403,output/thetastar_master_plan/route_nodes/DK01_to_DK05_backward_main_02.csv
v15,DK01_to_DK05,backward_backup_02,DK05,DK01,backward,backup,2,True,Path found. [safe fallback attempted],2327.8174593052026,2.327817459305203,213.71354459459482,43,79,0.4035763740539551,44.18604651162791,False,False,False,True,,50.0,44.18604651162791,16.509605969614313,1.2345679012345678,True,50.0,-70.71067811865487,True,100.0,,soft_lock,2,35,5.714285714285714,0.6066803531947065,0.3933196468052935,0.5291766010601474,1.4233412808481183,output/thetastar_master_plan/route_nodes/DK01_to_DK05_backward_backup_02.csv
v15,DK01_to_DK05,backward_main_03,DK05,DK01,backward,main,3,False,"Rank skipped: 2 candidate main(s) tried, none had a viable backup; no new distinct main exists under the lock/overlap limits.",,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DK01_to_DK05,backward_backup_03,DK05,DK01,backward,backup,3,False,Rank skipped: no main+backup couple found.,,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DK01_to_DK05,backward_main_04,DK05,DK01,backward,main,4,False,"Path found. [safe fallback attempted] Overlap with locked routes = 22/22 nodes (100.00%), exceeds limit 10.00%.",1793.5028842544402,1.7935028842544403,162.79012603271545,29,473,0.9087586402893066,,,False,False,True,0.0,,,,,,,,,,,soft_lock,22,22,100.0,0.46154973160378066,0.5384502683962193,0.34991950256980703,1.2799356020558454,output/thetastar_master_plan/route_nodes/DK01_to_DK05_backward_main_04.csv
