pair,direction,route_type,edge_seq,from_node_id,to_node_id,x1,y1,x2,y2,edge_distance_m,route_rank,route_key
DB01_to_DK03,forward,main,0,7798,7797,1050.0,3850.0,1000.0,3850.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,1,7797,7796,1000.0,3850.0,950.0,3850.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,2,7796,7694,950.0,3850.0,900.0,3800.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,3,7694,7592,900.0,3800.0,850.0,3750.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,4,7592,7490,850.0,3750.0,800.0,3700.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,5,7490,7388,800.0,3700.0,750.0,3650.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,6,7388,7286,750.0,3650.0,700.0,3600.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,7,7286,7184,700.0,3600.0,650.0,3550.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,8,7184,7083,650.0,3550.0,650.0,3500.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,9,7083,6982,650.0,3500.0,650.0,3450.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,10,6982,6881,650.0,3450.0,650.0,3400.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,11,6881,6780,650.0,3400.0,650.0,3350.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,12,6780,6678,650.0,3350.0,600.0,3300.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,13,6678,6577,600.0,3300.0,600.0,3250.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,14,6577,6476,600.0,3250.0,600.0,3200.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,15,6476,6375,600.0,3200.0,600.0,3150.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,16,6375,6273,600.0,3150.0,550.0,3100.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,17,6273,6172,550.0,3100.0,550.0,3050.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,18,6172,6071,550.0,3050.0,550.0,3000.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,19,6071,5969,550.0,3000.0,500.0,2950.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,20,5969,5868,500.0,2950.0,500.0,2900.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,21,5868,5766,500.0,2900.0,450.0,2850.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,22,5766,5665,450.0,2850.0,450.0,2800.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,23,5665,5564,450.0,2800.0,450.0,2750.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,24,5564,5464,450.0,2750.0,500.0,2700.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,25,5464,5363,500.0,2700.0,500.0,2650.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,26,5363,5262,500.0,2650.0,500.0,2600.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,27,5262,5161,500.0,2600.0,500.0,2550.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,28,5161,5061,500.0,2550.0,550.0,2500.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,29,5061,4960,550.0,2500.0,550.0,2450.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,30,4960,4859,550.0,2450.0,550.0,2400.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,31,4859,4758,550.0,2400.0,550.0,2350.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,32,4758,4657,550.0,2350.0,550.0,2300.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,33,4657,4557,550.0,2300.0,600.0,2250.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,34,4557,4456,600.0,2250.0,600.0,2200.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,35,4456,4355,600.0,2200.0,600.0,2150.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,36,4355,4254,600.0,2150.0,600.0,2100.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,37,4254,4153,600.0,2100.0,600.0,2050.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,38,4153,4052,600.0,2050.0,600.0,2000.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,39,4052,3952,600.0,2000.0,650.0,1950.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,40,3952,3851,650.0,1950.0,650.0,1900.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,41,3851,3750,650.0,1900.0,650.0,1850.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,42,3750,3649,650.0,1850.0,650.0,1800.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,43,3649,3548,650.0,1800.0,650.0,1750.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,44,3548,3448,650.0,1750.0,700.0,1700.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,45,3448,3347,700.0,1700.0,700.0,1650.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,46,3347,3246,700.0,1650.0,700.0,1600.0,50.0,1,forward_main_01
DB01_to_DK03,forward,main,47,3246,3146,700.0,1600.0,750.0,1550.0,70.71067811865476,1,forward_main_01
DB01_to_DK03,forward,main,48,3146,3046,750.0,1550.0,800.0,1500.0,70.71067811865476,1,forward_main_01
