pair,alt,seq,x,y,risk,conflict
DB02_to_DK05#alt1,1,42,2100.0,2550.0,0.4746,0.0
DB02_to_DK05#alt1,1,43,2150.0,2600.0,0.503,0.0
DB02_to_DK05#alt1,1,44,2150.0,2650.0,0.4746,0.0
DB02_to_DK05#alt1,1,45,2150.0,2700.0,0.4346,0.0
DB02_to_DK05#alt1,1,46,2200.0,2750.0,0.4346,0.0
DB02_to_DK05#alt1,1,47,2250.0,2750.0,0.4931,0.0
DB02_to_DK05#alt2,2,0,2150.0,600.0,0.4076,0.0
DB02_to_DK05#alt2,2,1,2200.0,550.0,0.3784,0.0
DB02_to_DK05#alt2,2,2,2250.0,500.0,0.3485,0.0
DB02_to_DK05#alt2,2,3,2300.0,500.0,0.3628,0.0
DB02_to_DK05#alt2,2,4,2350.0,550.0,0.4346,0.0
DB02_to_DK05#alt2,2,5,2400.0,600.0,0.5134,0.0
DB02_to_DK05#alt2,2,6,2450.0,650.0,0.6065,0.0
DB02_to_DK05#alt2,2,7,2500.0,700.0,0.6889,0.0
DB02_to_DK05#alt2,2,8,2550.0,750.0,0.7165,0.0
DB02_to_DK05#alt2,2,9,2600.0,750.0,0.6889,0.0
DB02_to_DK05#alt2,2,10,2650.0,800.0,0.6889,0.0
DB02_to_DK05#alt2,2,11,2700.0,850.0,0.6889,0.0
DB02_to_DK05#alt2,2,12,2750.0,900.0,0.6241,0.0
DB02_to_DK05#alt2,2,13,2800.0,950.0,0.5903,0.0
DB02_to_DK05#alt2,2,14,2850.0,1000.0,0.5134,0.0
DB02_to_DK05#alt2,2,15,2850.0,1050.0,0.5134,0.0
DB02_to_DK05#alt2,2,16,2850.0,1100.0,0.5134,0.0
DB02_to_DK05#alt2,2,17,2800.0,1150.0,0.5903,0.0
DB02_to_DK05#alt2,2,18,2800.0,1200.0,0.5483,0.0
DB02_to_DK05#alt2,2,19,2800.0,1250.0,0.503,0.0
DB02_to_DK05#alt2,2,20,2750.0,1300.0,0.5483,0.0
DB02_to_DK05#alt2,2,21,2750.0,1350.0,0.5134,0.0
DB02_to_DK05#alt2,2,22,2750.0,1400.0,0.5134,0.0
DB02_to_DK05#alt2,2,23,2750.0,1450.0,0.5134,0.0
DB02_to_DK05#alt2,2,24,2750.0,1500.0,0.5134,0.0
DB02_to_DK05#alt2,2,25,2700.0,1550.0,0.6065,0.0
