pair,alt,n_pts,length_m,width_m,buffer_m,half_extent_m,min_clearance_m,corridor_area_m2,mean_risk,max_risk,mean_conflict,corridor_length_m
DB01_to_DK03#alt0,0,55,3404.2,50.0,12.5,37.5,64.6,170208.0,0.2964,0.7165,0.0,
DB01_to_DK03#alt1,1,60,3716.3,50.0,12.5,37.5,50.0,185815.0,0.2306,0.7165,0.0,
DB01_to_DK03#alt2,2,67,4418.4,50.0,12.5,37.5,64.6,220919.0,0.4432,0.7165,0.0,
DB01_to_DK03#alt3,3,98,6154.8,50.0,12.5,37.5,64.6,307739.0,0.4188,0.7165,0.0,
DB01_to_DK03#alt4,4,70,4299.1,50.0,12.5,37.5,50.0,214957.0,0.1921,0.7165,0.0,
DB01_to_DK03#alt5,5,68,4074.9,50.0,12.5,37.5,64.6,203744.0,0.5775,0.7165,0.0,
DB01_to_DK03#alt6,6,150,8837.6,50.0,12.5,37.5,50.0,441881.0,0.3976,0.7165,0.0,
DB01_to_DK03#alt7,7,64,3833.5,50.0,12.5,37.5,64.6,191673.0,0.2748,0.7165,0.0,
DB02_to_DK03#alt0,0,16,853.6,50.0,12.5,37.5,264.6,42678.0,0.272,0.3679,0.0,
DB02_to_DK03#alt1,1,22,1236.4,50.0,12.5,37.5,64.6,61820.0,0.4611,0.7165,0.0,
DB02_to_DK03#alt2,2,21,1165.7,50.0,12.5,37.5,264.6,58284.0,0.1691,0.3679,0.0,
DB02_to_DK03#alt3,3,27,1548.5,50.0,12.5,37.5,264.6,77426.0,0.1822,0.3679,0.0,
DB02_to_DK03#alt4,4,16,895.0,50.0,12.5,37.5,264.6,44749.0,0.2226,0.3679,0.0,
DB02_to_DK03#alt5,5,35,2031.4,50.0,12.5,37.5,176.8,101569.0,0.2082,0.4931,0.0,
DB02_to_DK03#alt6,6,22,1360.7,50.0,12.5,37.5,114.6,68033.0,0.3393,0.6065,0.0,
DB02_to_DK03#alt7,7,16,936.4,50.0,12.5,37.5,264.6,46820.0,0.1657,0.3679,0.0,
DB01_to_DK01#alt0,0,84,5185.5,50.0,12.5,37.5,64.6,259277.0,0.2336,0.7165,0.0,
DB01_to_DK01#alt1,1,115,7004.8,50.0,12.5,37.5,64.6,350239.0,0.3147,0.7165,0.0,
DB01_to_DK01#alt2,2,176,10779.6,50.0,12.5,37.5,50.0,538982.0,0.3066,0.7165,0.0,
DB01_to_DK01#alt3,3,112,6544.1,50.0,12.5,37.5,50.0,327206.0,0.2817,0.7165,0.0,
DB01_to_DK01#alt4,4,75,4342.0,50.0,12.5,37.5,64.6,217102.0,0.3522,0.7165,0.0,
DB01_to_DK01#alt5,5,140,8151.2,50.0,12.5,37.5,64.6,407561.0,0.3404,0.7165,0.0,
DB01_to_DK01#alt6,6,85,5297.7,50.0,12.5,37.5,64.6,264883.0,0.3325,0.7165,0.0,
DB01_to_DK01#alt7,7,74,4312.7,50.0,12.5,37.5,64.6,215637.0,0.3116,0.7165,0.0,
DB01_to_DK04#alt0,0,30,1802.1,50.0,12.5,37.5,64.6,90104.0,0.615,0.7165,0.0,
DB01_to_DK04#alt1,1,39,2438.5,50.0,12.5,37.5,64.6,121924.0,0.4196,0.7165,0.0,
DB01_to_DK04#alt2,2,58,3533.5,50.0,12.5,37.5,50.0,176673.0,0.4103,0.7165,0.0,
DB01_to_DK04#alt3,3,81,4994.1,50.0,12.5,37.5,50.0,249706.0,0.3624,0.7165,0.0,
DB01_to_DK04#alt4,4,112,6854.8,50.0,12.5,37.5,64.6,342739.0,0.5843,0.7165,0.0,
DB01_to_DK04#alt5,5,29,1814.2,50.0,12.5,37.5,64.6,90711.0,0.5812,0.7165,0.0,
DB01_to_DK04#alt6,6,41,2621.3,50.0,12.5,37.5,64.6,131066.0,0.4021,0.7165,0.0,
DB01_to_DK04#alt7,7,58,3616.3,50.0,12.5,37.5,64.6,180815.0,0.2596,0.7165,0.0,
DB02_to_DK01#alt0,0,14,857.1,50.0,12.5,37.5,425.6,42855.0,0.1157,0.2151,0.0,
DB02_to_DK01#alt1,1,32,1964.2,50.0,12.5,37.5,250.0,98211.0,0.0898,0.2384,0.0,
DB02_to_DK01#alt2,2,14,857.1,50.0,12.5,37.5,417.4,42855.0,0.1409,0.2211,0.0,
DB02_to_DK01#alt3,3,42,2547.1,50.0,12.5,37.5,150.0,127353.0,0.1031,0.281,0.0,
DB02_to_DK01#alt4,4,17,1027.8,50.0,12.5,37.5,425.6,51391.0,0.1014,0.2151,0.0,
DB02_to_DK01#alt5,5,60,3529.9,50.0,12.5,37.5,50.0,176495.0,0.1652,0.6065,0.0,
DB02_to_DK01#alt6,6,15,927.8,50.0,12.5,37.5,414.6,46391.0,0.1527,0.2231,0.0,
DB02_to_DK01#alt7,7,20,1281.4,50.0,12.5,37.5,400.0,64069.0,0.0857,0.2151,0.0,
DB02_to_DK02#alt0,0,42,2567.8,50.0,12.5,37.5,64.6,128388.0,0.3417,0.7165,0.0,
DB02_to_DK02#alt1,1,56,3392.0,50.0,12.5,37.5,284.8,169602.0,0.2226,0.344,0.0,
DB02_to_DK02#alt2,2,60,3674.9,50.0,12.5,37.5,76.4,183744.0,0.3192,0.6889,0.0,
DB02_to_DK02#alt3,3,45,2697.1,50.0,12.5,37.5,64.6,134853.0,0.3606,0.7165,0.0,
DB02_to_DK02#alt4,4,84,4874.9,50.0,12.5,37.5,50.0,243744.0,0.3316,0.7165,0.0,
DB02_to_DK02#alt5,5,45,2697.1,50.0,12.5,37.5,64.6,134853.0,0.3409,0.7165,0.0,
DB02_to_DK02#alt6,6,72,4440.6,50.0,12.5,37.5,64.6,222028.0,0.3307,0.7165,0.0,
DB02_to_DK02#alt7,7,107,6418.4,50.0,12.5,37.5,50.0,320919.0,0.3025,0.7165,0.0,
DB01_to_DK06#alt0,0,145,8691.2,50.0,12.5,37.5,50.0,434558.0,0.3437,0.7165,0.0,
DB01_to_DK06#alt1,1,135,8274.0,50.0,12.5,37.5,50.0,413701.0,0.4117,0.7165,0.0,
DB01_to_DK06#alt2,2,73,4511.3,50.0,12.5,37.5,64.6,225563.0,0.5288,0.7165,0.0,
DB01_to_DK06#alt3,3,151,8991.2,50.0,12.5,37.5,50.0,449558.0,0.3488,0.7165,0.0,
DB01_to_DK06#alt4,4,88,5323.4,50.0,12.5,37.5,64.6,266170.0,0.4102,0.7165,0.0,
DB01_to_DK06#alt5,5,97,6001.2,50.0,12.5,37.5,64.6,300061.0,0.3854,0.7165,0.0,
DB01_to_DK06#alt6,6,88,5489.1,50.0,12.5,37.5,64.6,274454.0,0.4747,0.7165,0.0,
DB01_to_DK06#alt7,7,162,9271.9,50.0,12.5,37.5,50.0,463597.0,0.2583,0.7165,0.0,
DB02_to_DK05#alt0,0,98,5740.6,50.0,12.5,37.5,50.0,287028.0,0.3126,0.7165,0.0,
DB02_to_DK05#alt1,1,78,4740.6,50.0,12.5,37.5,50.0,237028.0,0.3126,0.7165,0.0,
DB02_to_DK05#alt2,2,76,4682.0,50.0,12.5,37.5,50.0,234099.0,0.3871,0.7165,0.0,
DB02_to_DK05#alt3,3,66,3974.9,50.0,12.5,37.5,50.0,198744.0,0.3164,0.7165,0.0,
DB02_to_DK05#alt4,4,93,5511.3,50.0,12.5,37.5,50.0,275563.0,0.3058,0.7165,0.0,
DB02_to_DK05#alt5,5,70,4174.9,50.0,12.5,37.5,50.0,208744.0,0.4075,0.7165,0.0,
DB02_to_DK05#alt6,6,64,3833.5,50.0,12.5,37.5,50.0,191673.0,0.3257,0.7165,0.0,
DB02_to_DK05#alt7,7,71,4577.0,50.0,12.5,37.5,50.0,228848.0,0.2565,0.6065,0.0,
DB01_to_DK02#alt0,0,66,3933.5,50.0,12.5,37.5,64.6,196673.0,0.4851,0.7165,0.0,
DB01_to_DK02#alt1,1,131,7866.9,50.0,12.5,37.5,50.0,393345.0,0.4446,0.7165,0.0,
DB01_to_DK02#alt2,2,59,3728.4,50.0,12.5,37.5,64.6,186421.0,0.4477,0.7165,0.0,
DB01_to_DK02#alt3,3,130,7796.2,50.0,12.5,37.5,50.0,389810.0,0.5082,0.7165,0.0,
DB01_to_DK02#alt4,4,108,6447.7,50.0,12.5,37.5,64.6,322383.0,0.5131,0.7165,0.0,
DB01_to_DK02#alt5,5,61,3911.3,50.0,12.5,37.5,64.6,195563.0,0.4544,0.7165,0.0,
DB01_to_DK02#alt6,6,104,6371.9,50.0,12.5,37.5,64.6,318597.0,0.3309,0.7165,0.0,
DB01_to_DK02#alt7,7,145,8484.1,50.0,12.5,37.5,50.0,424203.0,0.3227,0.7165,0.0,
DB02_to_DK06#alt0,0,37,2172.8,50.0,12.5,37.5,144.9,108640.0,0.2486,0.5483,0.0,
DB02_to_DK06#alt1,1,53,3428.4,50.0,12.5,37.5,76.4,171421.0,0.2352,0.6889,0.0,
DB02_to_DK06#alt2,2,38,2284.9,50.0,12.5,37.5,256.2,114246.0,0.1751,0.3784,0.0,
DB02_to_DK06#alt3,3,37,2131.4,50.0,12.5,37.5,106.1,106569.0,0.3394,0.6241,0.0,
DB02_to_DK06#alt4,4,40,2509.2,50.0,12.5,37.5,247.5,125459.0,0.1893,0.3895,0.0,
DB02_to_DK06#alt5,5,37,2172.8,50.0,12.5,37.5,64.6,108640.0,0.3865,0.7165,0.0,
DB02_to_DK06#alt6,6,37,2255.6,50.0,12.5,37.5,318.2,112782.0,0.1841,0.3077,0.0,
DB02_to_DK06#alt7,7,40,2426.3,50.0,12.5,37.5,345.4,121317.0,0.1494,0.281,0.0,
DB01_to_DK05#alt0,0,109,6642.6,50.0,12.5,37.5,50.0,332132.0,0.3969,0.7165,0.0,
DB01_to_DK05#alt1,1,117,7042.6,50.0,12.5,37.5,50.0,352132.0,0.4525,0.7165,0.0,
DB01_to_DK05#alt2,2,185,10691.2,50.0,12.5,37.5,50.0,534558.0,0.2996,0.7165,0.0,
DB01_to_DK05#alt3,3,112,6647.7,50.0,12.5,37.5,50.0,332383.0,0.3479,0.7165,0.0,
DB01_to_DK05#alt4,4,116,6847.7,50.0,12.5,37.5,50.0,342383.0,0.5356,0.7165,0.0,
DB01_to_DK05#alt5,5,86,5223.4,50.0,12.5,37.5,50.0,261170.0,0.4528,0.7165,0.0,
DB01_to_DK05#alt6,6,145,8608.3,50.0,12.5,37.5,50.0,430416.0,0.4179,0.7165,0.0,
DB01_to_DK05#alt7,7,121,7449.7,50.0,12.5,37.5,50.0,372487.0,0.3919,0.7165,0.0,
DB02_to_DK04#alt0,0,37,2214.2,50.0,12.5,37.5,106.1,110711.0,0.4811,0.6241,0.0,
DB02_to_DK04#alt1,1,46,2767.8,50.0,12.5,37.5,64.6,138388.0,0.557,0.7165,0.0,
DB02_to_DK04#alt2,2,36,2060.7,50.0,12.5,37.5,64.6,103033.0,0.5261,0.7165,0.0,
DB02_to_DK04#alt3,3,48,2950.6,50.0,12.5,37.5,64.6,147530.0,0.4749,0.7165,0.0,
DB02_to_DK04#alt4,4,37,2172.8,50.0,12.5,37.5,76.4,108640.0,0.4898,0.6889,0.0,
DB02_to_DK04#alt5,5,57,3504.2,50.0,12.5,37.5,144.9,175208.0,0.3037,0.5483,0.0,
DB02_to_DK04#alt6,6,38,2409.2,50.0,12.5,37.5,64.6,120459.0,0.4468,0.7165,0.0,
DB02_to_DK04#alt7,7,55,3238.5,50.0,12.5,37.5,144.9,161924.0,0.3589,0.5483,0.0,
