rbt_id,node,degree,is_seed
RBT01,MAJ013,4,False
RBT01,MIN001,6,True
RBT01,MIN002,7,True
RBT02,MAJ006,5,True
RBT02,MIN011,6,True
RBT03,MAJ001,5,True
RBT03,MAJ002,5,True
RBT04,MAJ003,6,True
RBT04,MAJ005,5,True
RBT05,MIN009,5,True
RBT06,MIN003,8,True
RBT07,MAJ010,4,False
RBT07,MIN006,5,True
RBT08,MIN005,6,True
RBT09,MAJ007,4,False
RBT09,MAJ012,5,True
RBT10,MIN007,5,True
RBT11,MAJ008,5,True
RBT11,MIN004,4,False
RBT12,MIN008,7,True
