leg_id,lane,seq,x,y
DK04__MIN009,A,0,284.45518239653654,1169.5795466156665
DK04__MIN009,A,1,564.4198671425871,1391.8523114153522
DK04__MIN009,B,0,315.54481760346346,1130.4204533843335
DK04__MIN009,B,1,595.509502349514,1352.6932181840193
DK04__MAJ006,A,0,275.0,1150.0
DK04__MAJ006,A,1,275.0,1850.0
DK04__MAJ006,B,0,325.0,1150.0
DK04__MAJ006,B,1,325.0,1850.0
DK04__BAK02,A,0,306.66495584007373,1174.0951937873483
DK04__BAK02,A,1,827.2890044071917,1030.0857152330732
DK04__BAK02,B,0,293.33504415992627,1125.9048062126517
DK04__BAK02,B,1,813.9590927270442,981.8953276583767
DK04__EXT03,A,0,324.1904318099211,1143.6894525713249
DK04__EXT03,A,1,24.190431809921094,-6.3105474286750685
DK04__EXT03,B,0,275.8095681900789,1156.3105474286751
DK04__EXT03,B,1,-24.190431809921094,6.3105474286750685
DB02__MIN014,A,0,4254.340543829184,1318.6308945395938
DB02__MIN014,A,1,4279.862614018094,1052.867801249446
DB02__MIN014,A,2,4280.0,1050.0
DB02__MIN014,A,3,4280.0,800.0
DB02__MIN014,A,4,4279.854126142962,797.0451476787998
DB02__MIN014,A,5,4279.4179231839935,794.1190310712711
DB02__MIN014,A,6,4278.695633163631,791.2501064384593
DB02__MIN014,A,7,4277.694280297288,788.4662738538135
DB02__MIN014,A,8,4276.423602665289,785.7946058770987
DB02__MIN014,A,9,4274.89595751078,783.2610842758137
DB02__MIN014,A,10,4273.12620106649,780.8903473544833
DB02__MIN014,A,11,4271.131544078985,778.7054503490233
DB02__MIN014,A,12,3666.1442505798314,178.3492150990838
DB02__MIN014,B,0,4204.569520465694,1313.851225790517
DB02__MIN014,B,1,4230.0,1049.041872361749
DB02__MIN014,B,2,4230.0,808.329320005702
DB02__MIN014,B,3,3630.92501044819,213.84013118404488
DB02__MIN016,A,0,4249.304678205762,1318.7012158450564
DB02__MIN016,A,1,4339.752306247822,554.4306783402236
DB02__MIN016,B,0,4199.651181416418,1312.824970735239
DB02__MIN016,B,1,4290.098809458478,548.5544332304063
DB02__MAJ010,A,0,4204.109944145866,1301.266708915371
DB02__MAJ010,A,1,4035.2622018105517,1538.50437498298
