agent_id,origin,dest,mission,round_trip,arrival_s,depart_s,wait_s,launch_s,complete_s,flight_time_s,speed_kmh,air_time_s,route_len_m,flown_m,hold_s,n_holds,energy_wh,charge_s,n_charges,battery_end_pct,completed,battery_dead
0,DB01,DK01,round_trip,True,0.0,0.0,0.0,0.0,,,30.0,3227.0,3486.8,1693.2,2608.0,4,173.43,1069.0,1,90.0,False,False
1,DK01,DB01,round_trip,True,0.0,2.0,2.0,2.0,,,50.0,202.0,3545.9,1701.3,4.0,4,12.29,0.0,1,92.6,False,False
2,DB01,DK02,one_way,False,0.0,4.0,4.0,4.0,3253.0,3249.0,60.0,3250.0,2771.3,930.6,3156.0,2,199.87,0.0,0,-0.0,False,True
3,DK02,DB01,backup,False,0.0,6.0,6.0,6.0,3259.0,3253.0,30.0,3254.0,4777.4,2500.1,184.0,4,31.99,0.0,0,-0.0,False,True
4,DB01,DK03,round_trip,True,0.0,8.0,8.0,8.0,3205.0,3197.0,60.0,3198.0,5236.2,1875.5,382.0,4,37.46,0.0,0,-0.0,False,True
5,DK03,DB01,round_trip,True,0.0,10.0,10.0,10.0,3256.0,3246.0,50.0,3247.0,3781.4,1093.4,3105.0,6,197.49,0.0,0,-0.0,False,True
6,DB01,DK04,one_way,False,0.0,245.0,245.0,245.0,3503.0,3258.0,60.0,3259.0,2414.2,656.0,54.0,1,8.24,0.0,0,-0.0,False,True
7,DK04,DB01,one_way,False,0.0,12.0,12.0,12.0,119.0,107.0,50.0,108.0,923.9,923.9,2.0,2,6.66,0.0,0,96.2,True,False
8,DB01,DK05,one_way,False,0.0,40.0,40.0,40.0,3293.0,3253.0,30.0,3254.0,4128.6,2225.1,3.0,3,18.65,0.0,0,-0.0,False,True
9,DK05,DB01,one_way,False,0.0,14.0,14.0,14.0,3271.0,3257.0,60.0,3258.0,3659.6,1366.1,379.0,2,33.44,0.0,0,-0.0,False,True
10,DB01,DK06,one_way,False,0.0,46.0,46.0,46.0,3317.0,3271.0,30.0,3272.0,2751.4,301.6,3179.0,1,196.77,0.0,0,-0.0,False,True
11,DK06,DB01,round_trip,True,0.0,16.0,16.0,16.0,3265.0,3249.0,50.0,3250.0,5325.1,1251.0,3007.0,2,192.62,0.0,0,-0.0,False,True
12,DB02,DK01,one_way,False,0.0,18.0,18.0,18.0,180.0,162.0,60.0,163.0,2123.9,2123.9,3.0,3,16.17,0.0,0,91.9,True,False
13,DK01,DB02,round_trip,True,0.0,20.0,20.0,20.0,3270.0,3250.0,50.0,3251.0,4699.6,908.6,3151.0,3,198.99,0.0,0,-0.0,False,True
14,DB02,DK02,round_trip,True,0.0,22.0,22.0,22.0,7947.0,7925.0,50.0,3931.0,10423.3,7194.7,995.0,13,111.74,314.0,1,-0.0,False,True
15,DK02,DB02,round_trip,True,0.0,24.0,24.0,24.0,3261.0,3237.0,60.0,3238.0,15282.3,2062.4,721.0,1,59.58,0.0,0,-0.0,False,True
