version,pair,route_key,start_label,end_label,direction,route_type,route_rank,success,message,distance_m,distance_km,total_cost,n_path_nodes,expanded_nodes,runtime_sec,mean_distance_to_main_m,duplicated_from_main,duplicated_from_previous_main,used_full_map_retry,safe_fallback,main_avoid_previous_radius_m,backup_corridor_m,backup_mean_offset_m,backup_min_offset_m,backup_separation_violation_pct,backup_separation_ok,backup_max_offset_m,parallel_buffer_ok,parallel_min_clearance_m,parallel_n_narrow_segments,parallel_n_crossings,parallel_crossing_locations,parallel_final_lambda,parallel_iterations,distance_diff_m,flz_buffer_ok,flz_buffer_min_distance_m,flz_buffer_via,tn_buffer_ok,tn_buffer_min_distance_m,tn_buffer_matched_role,tn_buffer_via,n_waypoints_before_turn_reduction,n_waypoints_after_turn_reduction,max_turn_angle_deg_before,max_turn_angle_deg_after,mean_turn_angle_deg_before,mean_turn_angle_deg_after,turn_reduction_applied,cross_pair_overlap_ok,cross_pair_overlap_percent,cross_pair_overlap_nodes,lock_mode,locked_overlap_nodes,locked_overlap_checked_nodes,locked_overlap_percent,mean_flz_support,mean_emergency_risk,mean_other_terminal_avoidance,mean_traffic_penalty_factor,route_file
v1_corridor,DB02_to_DK03,backward_main_01,DK03,DB02,backward,main,1,True,Path found. [safe fallback attempted],3231.370849898476,3.231370849898476,2644.148685126327,59,3420,3.007929563522339,,,False,False,True,200.0,,,,,,,,,,,,,,,True,300.0,,True,0.0,major,,59,59,90.0,75.96375653207352,54.52730970217647,45.90347018800091,True,,,,strict_lock,0,41,0.0,0.503944325013885,0.496055674986115,0.38979498860034045,1.3118359908802721,output/05_master_corridor_theta/route_nodes/DB02_to_DK03_backward_main_01.csv
v1_corridor,DB02_to_DK03,backward_backup_01,DK03,DB02,backward,backup,1,True,"Path found. [safe fallback attempted] Soft buffer: 0 narrow sample(s), 15 crossing(s), min clearance 149.8 m (target 50 m).",1194.9747468305832,1.1949747468305831,1227.3239823146378,22,492,0.6309847831726074,151.59358092256227,False,False,False,True,,,162.5096326572678,,,,250.0,False,149.80513029510686,0.0,15.0,"(854,1296);(1869,631);(1884,616);(1898,602);(1912,588);(1919,581);(1933,567);(1947,553);(1954,546);(1975,525);(1990,510);(1997,503);(2011,489);(2025,475);(2039,461)",57.6650390625,6.0,-2160.6601717798217,,,,,,,,22,22,,,,,False,,,,,0,0,0.0,0.36727378285057366,0.6327262171494265,0.5261297760773115,1.420903820861849,output/05_master_corridor_theta/route_nodes/DB02_to_DK03_backward_backup_01.csv
v1_corridor,DB02_to_DK04,forward_main_01,DB02,DK04,forward,main,1,True,Route forced through FLZ buffer via FLZ01.,3638.4776310850234,3.6384776310850233,1079.69406950967,63,2555,2.0239386558532715,,,False,False,True,,,,,,,,,,,,,,,,True,0.0,FLZ01,True,0.0,major,,63,63,90.0,90.0,45.39330905636769,41.036107366117854,True,,,,,0,0,0.0,0.6755872068967272,0.324412793103273,,,output/05_master_corridor_theta/route_nodes/DB02_to_DK04_forward_main_01.csv
v1_corridor,DB02_to_DK04,forward_backup_01,DB02,DK04,forward,backup,1,True,Path found. [safe fallback attempted],2950.6096654409885,2.9506096654409886,1407.0982385513785,48,896,0.7817714214324951,96.59064235408043,False,False,False,True,,,84.24949252924911,,,,223.60679774997897,True,50.0,0.0,0.0,,11.390625,11.0,-687.8679656440354,,,,,,,,48,48,,,,,False,,,,,0,0,0.0,0.5773495705348144,0.4226504294651856,0.06740153297177844,1.0539212263774227,output/05_master_corridor_theta/route_nodes/DB02_to_DK04_forward_backup_01.csv
v1_corridor,DB02_to_DK04,backward_main_01,DK04,DB02,backward,main,1,True,Path found. [safe fallback attempted],3538.477631085024,3.5384776310850237,1725.4065191148168,61,4373,3.0425326824188232,,,False,False,True,200.0,,,,,,,,,,,,,,,True,388.90872965260115,,True,35.35533905932738,major,,62,61,90.0,52.12501634890181,45.0,36.05436860286525,True,,,,strict_lock,0,50,0.0,0.6420586733856604,0.35794132661433986,0.0718848157555875,1.0575078526044701,output/05_master_corridor_theta/route_nodes/DB02_to_DK04_backward_main_01.csv
v1_corridor,DB02_to_DK04,backward_backup_01,DK04,DB02,backward,backup,1,True,"Path found. [safe fallback attempted] Soft buffer: 23 narrow sample(s), 1 crossing(s), min clearance 2.5 m (target 50 m).",4145.584412271572,4.145584412271572,2976.5493694675615,69,1005,0.8541252613067627,91.11254507347253,False,False,False,True,,,70.30627748664595,,,,212.13203435596427,False,2.51272359484269,23.0,1.0,"(2101,2650)",57.6650390625,16.0,453.5533905932739,,,,,,,,69,69,,,,,False,,,,,0,0,0.0,0.6610079396508052,0.33899206034919477,0.09103489174801828,1.0728279133984144,output/05_master_corridor_theta/route_nodes/DB02_to_DK04_backward_backup_01.csv
v1_corridor,DB02_to_DK05,forward_main_01,DB02,DK05,forward,main,1,True,Path found. [safe fallback attempted],5364.823227814083,5.3648232278140835,1731.7405691241681,88,6257,5.27641749382019,,,False,False,True,,,,,,,,,,,,,,,,True,100.0,,True,0.0,major,,88,88,59.03624346792648,48.366460663429805,39.394740283979324,32.73098261964922,True,,,,,0,0,0.0,0.5229354845040497,0.47706451549595036,0.11698609697320039,1.0935888775785605,output/05_master_corridor_theta/route_nodes/DB02_to_DK05_forward_main_01.csv
v1_corridor,DB02_to_DK05,forward_backup_01,DB02,DK05,forward,backup,1,True,Path found. [safe fallback attempted],4816.2950903902265,4.816295090390226,2396.7648827801963,82,1504,1.4720680713653564,71.08645203178048,False,False,False,True,,,79.7543774819159,,,,250.0,True,50.0,0.0,0.0,,1.0,2.0,-589.9494936611663,,,,,,,,82,82,,,,,False,,,,,0,0,0.0,0.5582070469078342,0.4417929530921658,0.1570997281955469,1.1256797825564377,output/05_master_corridor_theta/route_nodes/DB02_to_DK05_forward_backup_01.csv
v1_corridor,DB02_to_DK05,backward_main_01,DK05,DB02,backward,main,1,True,Path found. [safe fallback attempted],5169.8484809835,5.1698484809835,2612.364042465313,87,4134,3.554675340652466,,,False,False,True,200.0,,,,,,,,,,,,,,,True,223.60679774997897,,True,0.0,major,,87,87,63.43494882292201,30.963756532073518,34.704638605237676,17.16833387187648,True,,,,strict_lock,0,65,0.0,0.3723846200941665,0.6276153799058335,0.07703642035477824,1.0616291362838224,output/05_master_corridor_theta/route_nodes/DB02_to_DK05_backward_main_01.csv
v1_corridor,DB02_to_DK05,backward_backup_01,DK05,DB02,backward,backup,1,True,Path found. [safe fallback attempted],4981.980515339465,4.9819805153394645,3071.2994882607927,82,1234,1.189488410949707,75.30349270056124,False,False,False,True,,,61.32228200909988,,,,100.0,True,50.0,0.0,0.0,,1.0,2.0,-187.8679656440363,,,,,,,,82,82,,,,,False,,,,,0,0,0.0,0.3919781427732659,0.608021857226734,0.0951839483499705,1.0761471586799765,output/05_master_corridor_theta/route_nodes/DB02_to_DK05_backward_backup_01.csv
