idx,node_id,x,y,z,label,label_prefix
7798,7798,1050.0,3850.0,0.0,DB01,DB
2258,2258,1800.0,1100.0,0.0,DB02,DB
1135,1135,1200.0,550.0,0.0,DK01,DK
4418,4418,3750.0,2150.0,0.0,DK02,DK
2546,2546,1050.0,1250.0,0.0,DK03,DK
5686,5686,1500.0,2800.0,0.0,DK04,DK
4644,4644,4950.0,2250.0,0.0,DK05,DK
2496,2496,3600.0,1200.0,0.0,DK06,DK
