route_key,direction,dk_name,db_name,edge_seq,from_node_id,to_node_id,from_name,to_name,from_role,to_role,x1,y1,x2,y2,edge_distance_m,edge_cost,nofly_clearance_m,nearest_flz_distance_m,route_hit_density,is_outer_zone_edge
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,8,9151,7214,MAJ019,MAJ005,TN_major,TN_major,3050.0,4500.0,2150.0,3550.0,1308.62523283024,2.1936634019215844,428.21045938984753,165.56218397535278,9.928571428571429,1
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,9,7214,7213,MAJ005,DK01,TN_major,DK,2150.0,3550.0,2100.0,3550.0,50.0,0.7500000000000001,460.9772228646444,492.44289008980525,57.0,0
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,10,7213,8943,DK01,MAJ009,DK,TN_major,2100.0,3550.0,2750.0,4400.0,1070.046727951635,2.3005102473012258,291.547594742265,78.20295697311445,15.652173913043478,1
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,11,8943,4103,MAJ009,MIN006,TN_major,TN_minor,2750.0,4400.0,3150.0,2000.0,2433.105012119288,0.6164100070768002,238.4045609754088,189.3730201868185,7.24,1
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,12,4103,3865,MIN006,MIN011,TN_minor,TN_minor,3150.0,2000.0,1350.0,1900.0,1802.7756377319947,5.605809966626746,191.93471162903992,363.5763032278221,4.394736842105263,0
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,13,3865,4046,MIN011,MAJ020,TN_minor,TN_major,1350.0,1900.0,300.0,2000.0,1054.7511554864493,0.7687643624192526,195.4677585385866,1614.0012391568973,3.0,1
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,14,4046,2329,MAJ020,DK04,TN_major,DK,300.0,2000.0,300.0,1150.0,850.0,0.4620081259117569,450.0,2623.451924468981,24.38888888888889,1
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,15,2329,2431,DK04,MAJ014,DK,TN_major,300.0,1150.0,350.0,1200.0,70.71067811865476,0.3226761575392414,403.11288741492746,2797.320146139873,41.333333333333336,1
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,16,2431,4354,MAJ014,MIN016,TN_major,TN_minor,350.0,1200.0,550.0,2150.0,970.8243919473799,0.6979515980875759,350.46397817750113,2358.495283014151,2.7142857142857144,1
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,17,4354,2739,MIN016,MIN010,TN_minor,TN_minor,550.0,2150.0,600.0,1350.0,801.5609770940698,0.8113084116793472,150.0,2358.495283014151,2.3333333333333335,1
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,18,2739,6073,MIN010,MIN017,TN_minor,TN_minor,600.0,1350.0,650.0,3000.0,1650.7574019219178,0.8603011587169522,111.80339887498948,1972.308292331602,2.4,1
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,19,6073,2956,MIN017,DB01,TN_minor,DB,650.0,3000.0,1350.0,1450.0,1700.735135169495,4.275180720695886,91.43973146174442,1783.093505394373,4.0,1
DK01_to_DB02_forward,forward,DK01,DB02,0,7213,6728,DK01,MAJ017,DK,TN_major,2100.0,3550.0,3100.0,3300.0,1030.7764064044152,1.2098862701295372,460.9772228646444,497.3911531015334,11.454545454545455,0
DK01_to_DB02_forward,forward,DK01,DB02,1,6728,4805,MAJ017,FLZ04,TN_major,FLZ,3100.0,3300.0,2900.0,2350.0,970.8243919473799,4.987943744219987,120.10412149464314,0.0,16.61904761904762,0
DK01_to_DB02_forward,forward,DK01,DB02,2,4805,3615,FLZ04,MIN014,FLZ,TN_minor,2900.0,2350.0,4000.0,1750.0,1252.9964086141667,5.247158772590704,111.80339887498948,0.0,7.333333333333333,0
DK01_to_DB02_forward,forward,DK01,DB02,3,3615,4494,MIN014,MAJ003,TN_minor,TN_major,4000.0,1750.0,2500.0,2200.0,1566.0459763365825,1.8885841218501425,100.0,196.77576864288957,7.545454545454546,0
DK01_to_DB02_forward,forward,DK01,DB02,4,4494,3996,MAJ003,MAJ022,TN_major,TN_major,2500.0,2200.0,2850.0,1950.0,430.11626335213134,1.653617946866493,100.0,354.55588634686325,13.6,0
DK01_to_DB02_forward,forward,DK01,DB02,5,3996,2956,MAJ022,DB01,TN_major,DB,2850.0,1950.0,1350.0,1450.0,1581.1388300841897,1.987995979456927,100.0,403.11288741492746,5.242424242424242,0
DK01_to_DB02_forward,forward,DK01,DB02,6,2956,4103,DB01,MIN006,DB,TN_minor,1350.0,1450.0,3150.0,2000.0,1882.1530224718713,2.0263468986536366,100.0,407.94778941914467,5.102564102564102,0
DK01_to_DB02_forward,forward,DK01,DB02,7,4103,2711,MIN006,DB02,TN_minor,DB,3150.0,2000.0,4250.0,1300.0,1303.8404810405298,1.6122471855885518,166.59463463992248,32.34120221587586,12.821428571428571,0
DB02_to_DK01_backward,backward,DK01,DB02,0,2711,3008,DB02,MIN008,DB,TN_minor,4250.0,1300.0,3950.0,1450.0,335.4101966249685,1.4229221468616242,156.65508713900917,360.5551275463989,19.125,0
DB02_to_DK01_backward,backward,DK01,DB02,1,3008,4479,MIN008,MAJ011,TN_minor,TN_major,3950.0,1450.0,1750.0,2200.0,2324.327859833892,1.9957765043551918,100.0,92.52873240027458,6.083333333333333,0
DB02_to_DK01_backward,backward,DK01,DB02,2,4479,3058,MAJ011,MAJ015,TN_major,TN_major,1750.0,2200.0,1400.0,1500.0,782.6237921249264,2.0434343897536715,89.54092988684002,1159.7413504743201,11.235294117647058,0
DB02_to_DK01_backward,backward,DK01,DB02,3,3058,2956,MAJ015,DB01,TN_major,DB,1400.0,1500.0,1350.0,1450.0,70.71067811865476,0.811498729534718,100.0,1724.0939649566667,66.0,0
DB02_to_DK01_backward,backward,DK01,DB02,4,2956,3996,DB01,MAJ022,DB,TN_major,1350.0,1450.0,2850.0,1950.0,1581.1388300841897,1.987995979456927,100.0,403.11288741492746,5.242424242424242,0
DB02_to_DK01_backward,backward,DK01,DB02,5,3996,4494,MAJ022,MAJ003,TN_major,TN_major,2850.0,1950.0,2500.0,2200.0,430.11626335213134,1.653617946866493,100.0,354.55588634686325,13.6,0
DB02_to_DK01_backward,backward,DK01,DB02,6,4494,3615,MAJ003,MIN014,TN_major,TN_minor,2500.0,2200.0,4000.0,1750.0,1566.0459763365825,1.8885841218501425,100.0,196.77576864288957,7.545454545454546,0
DB02_to_DK01_backward,backward,DK01,DB02,7,3615,4805,MIN014,FLZ04,TN_minor,FLZ,4000.0,1750.0,2900.0,2350.0,1252.9964086141667,5.247158772590704,111.80339887498948,0.0,7.333333333333333,0
DB02_to_DK01_backward,backward,DK01,DB02,8,4805,6728,FLZ04,MAJ017,FLZ,TN_major,2900.0,2350.0,3100.0,3300.0,970.8243919473799,4.987943744219987,120.10412149464314,0.0,16.61904761904762,0
DB02_to_DK01_backward,backward,DK01,DB02,9,6728,7213,MAJ017,DK01,TN_major,DK,3100.0,3300.0,2100.0,3550.0,1030.7764064044152,1.2098862701295372,460.9772228646444,497.3911531015334,11.454545454545455,0
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,0,7213,7214,DK01,MAJ005,DK,TN_major,2100.0,3550.0,2150.0,3550.0,50.0,0.7500000000000001,460.9772228646444,492.44289008980525,57.0,0
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,1,7214,9151,MAJ005,MAJ019,TN_major,TN_major,2150.0,3550.0,3050.0,4500.0,1308.62523283024,2.1936634019215844,428.21045938984753,165.56218397535278,9.928571428571429,1
